Country,Category,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
THE COMMONWEALTH OF DOMINICA,Stay-over Visitors – Canada,No.,n.a.,"1,870","2,039","1,968","1,724","1,977","2,552","2,615","3,346","2,106","2,325","2,502","2,553","2,636","2,582","2,545","2,679","2,551","1,810","2,279",n.a.
THE COMMONWEALTH OF DOMINICA,Stay-over Visitors – Caribbean,No.,"39,898","37,853","40,289","43,561","49,367","47,127","46,579","40,511","41,091","40,177","41,648","41,105","41,850","41,437","41,890","37,273","38,665","34,241","36,883","54,615",n.a.
THE COMMONWEALTH OF DOMINICA,Stay-over Visitors – UK,No.,n.a.,"5,967","5,652","6,062","6,035","6,117","6,503","6,229","7,211","4,335","4,597","4,611","4,657","4,619","4,866","4,979","5,030","4,839","3,709","5,149",n.a.
THE COMMONWEALTH OF DOMINICA,Total Stay-over Visitors,No.,"69,596","66,395","69,193","73,191","80,087","79,258","84,041","77,809","81,112","69,042","70,618","70,821","74,144","74,090","76,885","70,115","73,754","68,685","62,712","89,264",n.a.
THE COMMONWEALTH OF DOMINICA,Total Visitor Expenditure - EC$m,EC$M,108.4,125.35,122.93,141.35,163.71,153.97,193.56,201.06,239.06,208.43,252.82,285.95,205.54,277,343.46,336.97,276.21,203.46,220.57,284.74,n.a.
THE COMMONWEALTH OF DOMINICA,Total Visitors,No.,"311,282","276,001","207,726","254,163","466,278","389,991","472,707","444,457","473,800","595,869","597,935","423,424","354,189","319,356","377,562","366,091","364,616","238,528","199,170","330,666",n.a.
THE COMMONWEALTH OF DOMINICA,Yacht passengers,No.,n.a.,n.a.,n.a.,n.a.,n.a.,"8,572","8,096","11,197","11,102","9,532","8,554","10,338","11,763","12,775","11,909","12,938","12,708","11,905","7,781","9,209",n.a.
GRENADA,Cruise Ship Passengers,No.,"180,305","147,381","135,061","146,925","229,800","275,085","218,647","270,259","292,712","342,852","333,291","309,564","242,757","197,309","235,140","270,628","314,913","299,429","342,826","337,940",n.a.
GRENADA,Excursionists,No.,"7,359","6,825","10,555","11,871","13,217","6,385","5,262","7,232","5,688","2,829","2,435","1,972","3,343","1,611","1,660","1,579","3,566","1,062",555,532,n.a.
GRENADA,Number of cruise ship calls,No.,360,288,259,267,249,260,221,258,217,246,206,198,135,144,156,193,257,291,246,260,n.a.
GRENADA,Stay-over Visitors - Other Countries,No.,"32,943","27,526","24,877","28,127","28,584","25,354","29,223","33,267","27,353","24,589","24,221","25,314","24,648","23,385","31,775","33,798","32,037","32,422","36,016","35,893",n.a.
GRENADA,Stay-over Visitors - USA,No.,"32,541","32,219","29,961","30,924","27,451","25,181","27,126","27,132","25,868","19,997","19,804","22,589","25,216","29,289","35,145","40,914","45,316","54,801","61,422","62,232",n.a.
GRENADA,Stay-over Visitors – Canada,No.,"4,829","5,442","4,306","5,296","5,111","4,341","6,335","6,017","6,927","6,040","6,138","6,492","7,102","9,039","13,229","10,790","10,723","11,383","13,784","14,539",n.a.
