"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure and Net Lending (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Average Discount Rate - High (%)","Average Discount Rate - Low (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Apr-2014","7509.3","7484.9","6790.6","6059.9","0","504.6","226.2","351.6","694.3","4399.9","4237.8","162.2","3085","2552.9","532.2","5222.6","5060.4","162.2","2286.7","1730.2","532.2","24.4","4509.3","4005.6","653.3","668.3","2348.6","27.4","4.5","24.9","160.4","696","141.1","776.8","335.5","503.7","3479.3","-2222.5","3335.5","3000.1","2.84","2.84"
"Mar-2014","4184.8","4181.3","3990.4","3406.9","0.2","410.3","173","281.9","190.8","1476.6","1346.4","130.2","2704.6","2644","60.6","2585.7","2455.5","130.2","1599.1","1535","60.6","3.5","4851.2","4590.1","656.5","652.3","3063.1","12.5","713.7","18.4","129.5","1037.9","159.9","422.4","218.2","261.1","-408.8","-3252","-448.2","-666.4","2.93","2.84"
"Feb-2014","1827.7","1827.5","1243.8","556.8","0.3","503.7","182.9","336.5","583.7","376.1","47.1","329","1451.4","1196.7","254.7","377.2","48.2","329","1450.5","1195.6","254.7","0.2","3522.4","3111.3","651","893.2","1360.1","28.3","30.4","26.5","97.2","201.2","250.7","299.3","206.9","411.1","-1283.7","-2071.9","-1487.8","-1694.7","2.84","2.84"
"Jan-2014","3288.8","3266.9","2342.8","1386.3","0.2","734.5","221.9","560.7","924.1","912.4","609.5","302.9","2354.5","1733.3","621.1","954.3","651.4","302.9","2334.5","1691.5","621.1","21.9","4831.1","4065","653.7","616.3","2605.2","18","14.9","21.8","209.6","826.5","153.6","896.6","189.7","766.2","-798.1","-2496.6","-1352.6","-1542.3","2.93","2.84"
"Dec-2013","8941.9","8918.3","6757","5991.5","0.3","525.5","239.6","352.1","2161.3","3255.8","3203.3","52.5","5662.5","3553.7","2108.8","4534.4","4481.9","52.5","4407.4","2275.1","2108.8","23.6","3546.9","3270.2","738.4","453.9","1896.5","4.4","0.9","16.4","136.3","411.3","273.9","400.1","181.5","276.7","5648.1","860.6","5576.4","5395","2.84","2.84"
"Nov-2013","3213.5","3213","1460.3","577.9","0.4","613.9","268.1","478","1752.7","350.4","53.9","296.6","2862.6","1406.5","1456.1","360.7","64.1","296.6","2852.8","1396.2","1456.1","0.5","3335.8","3099.8","650.4","423.9","1698.2","9.9","7.7","32.9","136.6","521.3","87.5","355.3","327.3","236","113.1","-483","205","-122.3","2.93","2.84"
"Oct-2013","3289.7","2242.6","1913.1","1198.3","0.4","428.4","285.9","275.8","329.5","878.7","592.2","286.5","1363.9","1320.9","43","883.7","597.2","286.5","2406","1315.9","43","1047.1","4411.9","4221.3","700.8","440.2","3037.2","16.4","0","20.2","144.2","1254.2","70.3","1117.2","43.1","190.6","-1978.7","-2005.9","-1079.1","-1122.2","2.84","2.84"
"Sep-2013","8769","8727.5","6767.8","5799.9","0.5","701.4","265.9","509.6","1959.8","4186.5","2845.8","1340.7","4541","3921.9","619.1","5664.2","4323.5","1340.7","3104.8","2444.3","619.1","41.5","8754.2","5510.2","711.6","1243","2864.5","39.3","185.6","30.4","228.3","570.6","244.9","279.7","691.1","3244","3217.4","-5649.4","705.9","14.8","2.93","2.84"
"Aug-2013","1577.5","1561.8","1436.9","669.5","0.5","525.8","241.1","376.7","124.9","160.6","68.2","92.4","1401.2","1368.7","32.5","166.9","74.5","92.4","1410.6","1362.4","32.5","15.7","4756.2","3719.9","1050.8","553.3","1954.5","22.7","0.8","28","124.7","606.2","242.4","313.9","161.3","1036.2","-2158.1","-3345.6","-3017.3","-3178.6","2.84","2.84"
"Jul-2013","2362.3","2362","2188.8","1171.3","0.3","783","234.1","591.8","173.3","577.2","443.6","133.7","1784.8","1745.2","39.6","596.1","462.5","133.7","1766.2","1726.3","39.6","0.3","4491.7","3977.2","692.8","834.3","2223.8","17.8","3.3","38.3","147.8","613","67.4","992.8","226.3","514.5","-1615.2","-2725.5","-1903.1","-2129.4","2.93","2.84"
"Jun-2013","8705.3","8393.5","7460.3","6408.7","0.3","817.2","234.1","637.8","933.2","3694","3439.4","254.6","4699.5","4020.9","678.6","5393.2","5138.6","254.6","3312.1","2321.7","678.6","311.8","4239.3","4011.9","1344.8","420.3","2028.7","22","25.5","21.8","150.7","637.8","256.9","555.2","218.2","227.4","4381.6","-927.2","4684.2","4466","2.84","2.84"
"May-2013","3418.6","3337.9","2244.2","1298.4","0.2","721.3","224.2","601.6","1093.7","706","632.1","73.9","2631.9","1612.1","1019.8","738.8","664.9","73.9","2679.8","1579.3","1019.8","80.7","4416.6","4044.3","825.8","767.6","2098.1","18.4","16.2","22.9","141.5","653.2","252.4","420","352.8","372.3","-706.4","-1736.8","-645.2","-998","2.93","2.84"
"Apr-2013","3348.9","3348.5","2790.3","1748.2","0.4","830.3","211.5","640.1","558.2","867","638.9","228.1","2481.5","2151.4","330.1","1213.7","985.6","228.1","2135.2","1804.7","330.1","0.4","4683.4","4123.6","756.9","602.3","2544.6","9.9","19.6","28.2","153.2","789.9","165.6","984.3","219.8","559.8","-775","-2548.2","-1114.7","-1334.5","2.84","2.84"
"Mar-2013","6225.8","6203.4","5711.4","4939.1","0.4","597.2","174.8","443.2","492","2198","2195.6","2.4","4005.5","3515.8","489.7","3614.1","3611.7","2.4","2611.8","2099.7","489.7","22.4","7239.9","6529.7","798.9","533.1","4920.4","13.9","12","17.5","142.9","3554.4","242.2","461","277.4","710.2","-326.2","-4628.1","-736.7","-1014.1","2.93","2.84"
"Feb-2013","1880.8","1858.9","1468.7","676.2","0.4","638.3","153.8","505.9","390.2","423.8","77.7","346.1","1435.2","1391.1","44.1","552.4","206.3","346.1","1328.4","1262.4","44.1","21.9","4112","3752.3","617.6","637","2312.8","16.6","11.1","21.5","136.1","1087.1","118.9","474.1","184.8","359.7","-1893.3","-2783.6","-2046.4","-2231.1","2.84","2.84"
"Jan-2013","5884.6","5881","5130.7","4073.9","0.3","853","203.5","687.8","750.2","3539.9","3282.2","257.7","2341.1","1848.5","492.6","3636.2","3378.5","257.7","2248.5","1752.2","492.6","3.7","4382.1","4073.2","580.9","621.9","2735.7","18.7","0.8","27.2","144.8","1043.4","208.8","752.7","134.7","308.9","1807.8","-2133.6","1637.2","1502.5","2.93","2.84"
"Dec-2012","6362.3","6360.5","6017.1","5214.4","0.3","596.8","205.5","492.5","343.4","2547.5","2544.9","2.6","3813","3472.2","340.8","3922.5","3919.8","2.6","2439.8","2097.2","340.8","1.8","4084.5","3441","613.5","402.4","2301.1","14","3.2","18.4","101","560.3","208.2","802.2","124","643.5","2919.5","-1644.7","2401.8","2277.8","2.84","2.8"
"Nov-2012","2104.6","2103.4","1527","542.3","0.5","798.1","186.1","614.6","576.4","419.2","52.3","367","1684.2","1474.7","209.4","424.1","57.1","367","1680.5","1469.9","209.4","1.2","3784.4","3573.4","565.2","315.3","2507.4","15.4","2.5","20.2","102.5","1208.2","156.7","457.4","185.5","211","-1470","-2103.9","-1494.2","-1679.8","2.84","2.79"
"Oct-2012","2120.4","2120.2","1898.5","967","0.2","678.3","253","555.8","221.7","667.5","479.9","187.6","1452.7","1418.6","34.2","681.5","493.9","187.6","1438.9","1404.6","34.2","0.2","2724.5","2472.1","612.8","249.7","1576.7","12.9","7.6","13.9","137.5","382.4","68.6","673.1","32.8","252.4","-351.9","-1285.5","-571.2","-604.1","2.8","2.8"
"Sep-2012","7679.8","7678","7290.3","6378","0.3","694.5","217.5","460.8","387.8","3676.1","3650.9","25.2","4002","3639.4","362.6","5104.8","5079.6","25.2","2575.1","2210.7","362.6","1.8","8084.5","5978.5","594","1407.1","3422.2","29.3","217.5","35.4","337.9","611.6","2253.2","544.1","555.2","2105.9","1699.5","-5509.4","150.6","-404.6","3.09","3.04"
"Aug-2012","2322.5","2322.3","1538.3","629","0.4","716","192.9","588.1","784","420.5","61.6","358.9","1901.8","1476.7","425.1","432.3","73.4","358.9","1890.2","1464.9","425.1","0.2","4861.2","4301.5","673.4","479.1","2899.1","9.9","696.2","28.3","138.6","1015.9","250","288.2","250","559.7","-1979.2","-2971","-2288.7","-2538.7","3.05","3.05"
"Jul-2012","2360.3","2360","2090.5","1007.4","0.4","849.6","233.2","662","269.5","738.4","502.9","235.5","1621.5","1587.6","34","742.5","507","235.5","1617.8","1583.5","34","0.4","5730.1","5159.9","627.3","711.3","3525.3","8.2","30.1","21.3","133","723.1","84","676.6","296","570.2","-2799.9","-4112.2","-3073.7","-3369.7","3.09","3.05"
"Jun-2012","6539.2","6537.2","6445.9","5722.6","0.4","551.8","171.2","416.6","91.3","3068.2","3060.1","8","3469.1","3385.8","83.3","4625.3","4617.3","8","1913.9","1828.7","83.3","1.9","3752.6","3404.8","649.8","589.3","1966.2","18.2","11.8","15.8","163.6","603.5","252.8","463","199.4","347.8","3132.5","-1838.7","2986","2786.6","3.05","3.04"
"May-2012","2823.3","2822.9","2030.4","1112.6","0.4","730.4","186.9","578.9","792.5","560.1","122.6","437.6","2262.7","1907.8","354.9","862.8","425.3","437.6","1960.4","1605.1","354.9","0.4","3432.3","3092.1","585.4","712.1","1573.4","21.6","9.2","26","140.3","562.2","96.5","239.9","221.2","340.1","-269.3","-1471.8","-387.8","-609","3.09","3.04"
"Apr-2012","3287.9","3287.3","2665.2","1856.6","0.3","631.8","176.4","491.8","622","996.3","860.1","136.2","2291","1805.2","485.8","1219.8","1083.6","136.2","2068.1","1581.7","485.8","0.6","4161.5","3754.1","635","500.7","2445.4","19.2","20.4","18.9","138.1","783.3","136.6","773.8","173.1","407.4","-466.8","-2093.4","-700.6","-873.6","3.05","3.05"
"Mar-2012","6743.2","6720.4","5906.7","5020.7","0.4","703.6","182","527","813.7","2800.2","2799.7","0.5","3920.1","3107","813.1","3995","3994.5","0.5","2748.1","1912.2","813.1","22.8","3870","3276.9","616","538.2","1903.4","24.7","24.6","33","126","753.1","229.7","366.7","219.3","593.1","3443.5","-1121.8","3092.5","2873.2","3.09","3.05"
"Feb-2012","1648.7","1648.4","1221.5","429.1","0.3","613.3","178.8","500.8","426.9","429.9","47.6","382.3","1218.5","1173.9","44.6","430.4","48.1","382.3","1218.3","1173.4","44.6","0.3","3933.6","3255","551.1","463.5","1907.5","17.4","4.2","18.2","181.7","766.5","222.1","382.6","333","678.6","-1606.6","-2715.3","-1952","-2284.9","3.05","3.05"
"Jan-2012","3069.9","3069.6","2417.1","1465.4","0.2","760.9","190.6","643.6","652.5","1025.3","707.8","317.5","2044.3","1709.3","335","1026.9","709.4","317.5","2043","1707.8","335","0.3","3865.2","3483.9","568.4","625.7","2133.7","43.3","1.9","20.2","135.1","763.5","168.9","700.6","156.1","381.3","-414.3","-1822.2","-639.2","-795.3","3.09","3.05"
"Dec-2011","7791.3","7791.1","7678.4","6929.9","0.7","561.2","186.6","390.3","112.7","4485.1","4455.4","29.7","3306","3223","83","5816.6","5786.9","29.7","1974.7","1891.5","83","0.2","4062.3","3479.7","601.1","383.5","2286.2","17.4","9.5","23.6","119.8","1084.2","182.6","542.5","208.9","582.6","4311.3","-2087.6","3937.9","3728.9","3.05","3.05"
"Nov-2011","1930.8","1924.7","1395.4","449.2","0.5","724.9","220.8","602.7","529.4","543.6","46.6","497","1381.1","1348.8","32.4","546.2","49.2","497","1384.6","1346.2","32.4","6","3133.8","2826.7","615.5","479.6","1584","4","6.2","16.7","151.5","396","72.8","617.1","147.6","307","-902","-1749.2","-1055.3","-1203","3.09","3.05"
"Oct-2011","3081.2","3072.7","2889.1","2104.4","0.4","601.9","182.4","474.9","183.5","1817.1","1682.2","134.9","1255.6","1207","48.6","1823.3","1688.4","134.9","1257.8","1200.7","48.6","8.5","2587.8","2473.9","565.3","171.6","1559.7","0.2","12.3","17.9","110.7","606","68.7","488.5","177.2","113.9","598.8","-1329.9","670.6","493.4","3.05","3.05"
"Sep-2011","8219.7","8216","7911.1","6615.8","0.4","986.3","308.7","805.2","304.9","3867.3","3839.9","27.4","4348.7","4071.2","277.5","5471.3","5443.8","27.4","2748.5","2467.3","277.5","3.7","6447.5","4721.5","649.8","851.9","2731.5","3.6","93.9","-26.5","221.1","471.3","2220.5","454.2","488.2","1726","3494.6","-3699","2260.5","1772.3","3.09","3.05"
"Aug-2011","1553.7","1553.1","923.2","497","0.4","253.5","172.3","142.5","629.9","508.4","66.7","441.7","1044.8","856.6","188.2","508.8","67.1","441.7","1044.9","856.2","188.2","0.5","4393.8","3695.5","750.7","799.9","1886.7","28.9","2.4","58.8","136.8","789.6","135.9","334.7","258.2","698.3","-2142.4","-3348.9","-2582","-2840.2","3.05","3.05"
"Jul-2011","3657.1","3408.1","3066.4","2861.1","0.4","26.3","178.6","-112.3","341.7","2609.2","2350.1","259.1","798.9","716.3","82.6","2609.8","2350.7","259.1","1047.3","715.7","82.6","249","4917.7","4257.6","646.5","552.4","2909.2","21.8","11.6","28.3","132.1","1124.6","143.7","594.6","149.5","660.1","-849.5","-3870.5","-1111.2","-1260.6","3.34","3.29"
"Jun-2011","5136.3","5136","4892.7","4025.4","0.6","692.8","173.9","536","243.3","1519.9","1514.7","5.2","3616.1","3377.9","238.1","2979.4","2974.2","5.2","2156.9","1918.4","238.1","0.4","4596.4","4246.6","584.3","416.8","3038.7","25.7","10","21.7","139.2","516","143.5","412.1","206.7","349.9","889.4","-2439.5","746.6","539.9","3.3","3.29"
"May-2011","4345.9","4314.7","3691","2547","3.6","989.7","150.8","857","623.7","1352","966.3","385.7","2962.8","2724.7","238.1","1883.3","1497.7","385.7","2462.5","2193.3","238.1","31.1","4637.1","3955.4","596.3","916","2185","8.1","4.7","24","151.5","862.4","118.3","350.8","258","681.7","359.3","-2174.6","-33.2","-291.2","3.34","3.3"
"Apr-2011","4568.7","4568.6","3875.9","3287.8","0.9","430","157.2","286.6","692.7","2700.4","2447.1","253.3","1868.1","1428.8","439.4","2885.4","2632.1","253.3","1683.3","1243.8","439.4","0.1","3383.3","2760.9","529.8","385.5","1663.8","6.3","7.4","22.2","134","568.2","105.6","555.4","181.8","622.4","1807.7","-1700","1367.2","1185.4","3.3","3.3"
"Mar-2011","4975.4","4975","4376","3739.4","1.2","484.9","150.5","352.4","599","1601.8","1597.5","4.3","3373.2","2778.5","594.7","2715.4","2711.1","4.3","2260","1665","594.7","0.4","3361.9","2857.9","612.7","443.4","1560.2","51.3","24.9","17","113.6","593.1","132.2","350.4","241.7","504","2117.1","-1101.9","1855.2","1613.5","3.34","3.29"
"Feb-2011","1414.7","1414.5","1062.5","452.5","0.8","479.2","130","353.2","352","405","69.9","335.1","1009.5","992.6","16.9","405.1","70","335.1","1009.6","992.5","16.9","0.2","3391.1","3070.7","553.6","496.8","1726.2","17.9","15.9","18.5","146.5","741.1","76","302.4","294","320.4","-1656.2","-2381.4","-1682.3","-1976.4","3.55","3.55"
"Jan-2011","3409.7","3409.7","2691.1","1903.6","0.5","645.9","141.1","527.3","718.6","2061.3","1408.4","652.9","1348.4","1282.7","65.8","2065","1412.2","652.9","1344.7","1278.9","65.8","0","4080.8","3758.7","540.4","627.2","2360.2","13","25.7","21.6","298.3","924.8","101.5","698.4","230.9","322.1","-349","-2736.1","-440.1","-671.1","3.84","3.8"
"Dec-2010","6542.2","6542.1","6005.4","5394.6","0.3","425","185.5","281.2","536.7","2874.2","2807.4","66.8","3667.9","3198.1","469.8","4341.9","4275.1","66.8","2200.3","1730.4","469.8","0.1","3214.6","2828.3","596.7","305.6","1784.3","18.9","7.7","17.9","122.5","546.2","146.2","614.3","141.9","386.3","3713.8","-1014.3","3469.4","3327.6","3.84","3.79"
"Nov-2010","1274.8","1274.8","1232.7","435.2","1.2","577.2","219","442","42.2","56.7","43.3","13.4","1218.2","1189.4","28.8","64.6","51.2","13.4","1210.3","1181.5","28.8","0","2712.2","2539.1","550","468.9","1299.8","24","13.6","18.7","119.2","481.7","75.7","228.4","220.4","173.1","-1264.3","-1501.9","-1216.9","-1437.3","4","4"
"Oct-2010","2402.3","2400.9","2289.3","1507","0.4","581.7","200.2","446","111.6","1238.8","1150.6","88.2","1162.1","1138.7","23.4","1239.8","1151.6","88.2","1162.5","1137.7","23.4","1.4","3466","2957.8","569","239.8","1953.9","17.4","0.3","16","130.2","509.3","199.5","773.9","195.1","508.2","-556.9","-2303.5","-868.6","-1063.7","4.25","4.25"
"Sep-2010","8104.3","7933","6126.3","4886.3","0.2","982.3","257.5","790.1","1806.6","3878.3","2774.1","1104.2","4054.7","3352.3","702.4","4865.6","3761.4","1104.2","3238.7","2365","702.4","171.4","8330","7023.5","568.2","976.8","4916.1","5","38.6","24.3","152.2","326.5","453.2","382.4","562.4","1306.4","909.4","-5091.2","336.8","-225.6","4.46","4.41"
"Aug-2010","1728.8","1710.9","1249.6","561.2","0.4","527","161.1","389.1","461.3","363.5","59.7","303.9","1347.4","1189.9","157.4","479.8","175.9","303.9","1249","1073.7","157.4","17.8","3545.8","3281.2","584.4","474.2","1935.2","14.6","29.8","17.2","140","576.3","145.9","227.6","287.4","264.6","-1570.2","-2296.8","-1529.7","-1817","4.96","4.96"
"Jul-2010","2595.6","2595.5","2438.7","1614.8","0.9","660.8","162.2","539.6","156.8","1270.8","1177.8","93.1","1324.7","1260.9","63.8","1277.9","1184.8","93.1","1317.7","1253.9","63.8","0.1","3217","2843.2","540.6","734.9","1404.1","31.1","2.9","19.8","123.6","462.4","105.1","421.7","163.7","373.8","-247.7","-1899.3","-457.7","-621.4","4.96","4.96"
"Jun-2010","5317.6","5317.3","5244.5","4498.9","1.3","581.3","163","443.9","72.8","2572.8","2572.3","0.5","2744.5","2672.3","72.3","3541.1","3540.6","0.5","1776.5","1704","72.3","0.3","3047.4","2642.2","547.4","669","1108.9","17.4","9.1","16.1","130.7","416.1","88","443.2","317","405.2","2675.1","-1270.9","2587.1","2270.2","4.96","4.96"
"May-2010","3903.9","3867.9","2332.3","1562.9","0.5","627.9","140.9","505.4","1535.6","1407.1","1042.5","364.6","2460.8","1289.8","1171","1435.8","1071.3","364.6","2468.1","1261","1171","36","2361.1","1765","582.6","453.1","508.1","15.4","26.8","21.1","161.4","669.2","64.2","331.1","221.3","596.1","2102.8","107","1764.1","1542.8","5","4.96"
"Apr-2010","3528.9","3527.9","3076.3","2540.9","7.2","371.9","156.2","223.7","451.6","1308.3","1204.6","103.7","2219.5","1871.7","347.9","1836.7","1732.9","103.7","1692.2","1343.3","347.9","1","3885.4","3436.4","573.6","431.7","2197.5","25.8","6.1","14.8","117.4","648.9","87","551.1","233.6","449","91.5","-2193.1","-122.9","-356.5","4.96","4.96"
"Mar-2010","4838","4837.9","4479.6","3721.6","1.1","665.3","91.6","540.1","358.3","2486.8","2338","148.8","2351","2141.6","209.5","3026.6","2877.8","148.8","1811.4","1601.7","209.5","0.2","3289.2","2625.3","522.1","555.8","1204.6","6.8","69.6","18","134.6","597","148.6","303.1","342.8","663.8","2212.5","-1477.8","1891.7","1548.9","4.96","4.91"
"Feb-2010","1677.9","1677.8","1146.4","412.9","3.2","604.3","126","494.3","531.5","384","42.6","341.4","1293.8","1103.7","190.1","384.2","42.8","341.4","1293.8","1103.6","190.1","0.1","2433.5","2174.1","563.2","370","1084.4","19.1","11","18.2","119.9","395.6","62","235.7","156.5","259.4","-496.3","-1139.7","-599.1","-755.5","4.96","4.96"
"Jan-2010","3149.6","3149.4","2637.3","1819.2","1","694.3","122.8","592","512.1","1375.1","1293.2","81.9","1774.3","1344.1","430.2","1387.5","1305.7","81.9","1762","1331.6","430.2","0.2","4104.4","3583.8","478.3","574.5","2287.5","20.5","15","21.6","123.7","660","25.9","969.3","243.4","520.6","-434.4","-2342.4","-711.4","-954.9","5.21","5.61"
"Dec-2009","5196.4","5196.2","4987.9","4047.6","1.6","757.2","181.5","618","208.3","2084.6","2023.2","61.5","3111.6","2964.7","146.8","3023.6","2962.2","61.5","2172.7","2025.7","146.8","0.1","3774.1","3188.5","636.2","575.8","1697.2","35.5","9.3","20.9","118.3","997","389.9","439.7","279.4","585.6","2007.7","-1601.4","1701.6","1422.2","5.71","5.7"
"Nov-2009","1493.9","1493.4","1227.3","463","1.1","598.3","164.8","454.4","266.2","202","42.2","159.8","1291.4","1185.1","106.3","202.7","42.9","159.8","1291.2","1184.4","106.3","0.5","2930.7","2058.5","524.3","299","953.2","13.5","5.9","17","129.4","634","59.4","357.2","282","872.1","-565.1","-1639.5","-1154.7","-1436.8","6.21","5.66"
"Oct-2009","2328","2324.8","2177.4","1458.4","3.6","537.6","177.8","441.6","147.4","1144.8","1018.7","126.1","1180","1158.7","21.2","1239.1","1113","126.1","1088.9","1064.4","21.2","3.2","2756.4","2653.9","589.9","326.5","1536.5","0","2.5","10.2","131","234.2","58.4","692.6","200.9","102.5","-329.1","-1667.5","-227.5","-428.4","6.21","6.2"
"Sep-2009","6052.6","6024.8","4471.6","3441.4","1.8","845.8","182.6","685.5","1553.1","3193.3","1974.6","1218.8","2831.5","2497.1","334.4","3637.8","2419","1218.8","2414.9","2052.6","334.4","27.9","8896","6376.5","584.3","1127.8","4251.7","32","42.7","24.6","155.7","1644.5","592.1","87.1","412.6","2519.6","-351.7","-6481.1","-2430.8","-2843.4","6.71","6.66"
"Aug-2009","1854.1","1854.1","1233.3","454.2","1.3","645.8","132","541.4","620.7","218.2","58.6","159.6","1635.9","1174.8","461.1","218.3","58.7","159.6","1635.8","1174.7","461.1","0.1","3526.3","2615","513.1","462.4","1439.1","4.1","41.5","19.4","110.2","404.1","152.5","172.5","200.4","911.3","-760.9","-1890.5","-1471.8","-1672.1","7.16","7.16"
"Jul-2009","2602.8","2599.3","2448.8","1676.9","3.5","630.6","137.8","511","150.5","1183.6","1076.9","106.6","1415.7","1371.8","43.9","1223.6","1117","106.6","1379.2","1331.8","43.9","3.5","3170.6","2683.6","600.4","584.4","1312.6","36.2","-341.1","17.5","114.6","320.7","168.3","556.7","186.2","487","-84.3","-1791.5","-381.7","-567.8","7.41","7.31"
"Jun-2009","2961.4","2960.9","2917.3","2266.7","32.1","499.4","119.1","382.4","43.6","1093.8","1089.3","4.4","1867.1","1828","39.2","1371.2","1366.8","4.4","1590.2","1550.6","39.2","0.5","2869.6","2294.4","537.3","467.2","932.3","14.4","173.7","17.4","121.2","415.9","62.9","356.1","357.6","575.3","666.6","-1279.4","449.3","91.8","7.91","7.42"
"May-2009","2892.4","2892.2","2491.4","1832","7.1","528.9","123.5","397.8","400.8","1256.3","1043.8","212.5","1635.9","1447.7","188.3","1377.7","1165.2","212.5","1514.7","1326.3","188.3","0.2","1922.6","1517.6","516.4","430.5","207.7","9","5.6","16.9","110.6","619.3","75.4","251.7","363","405","1374.6","-407.9","1332.8","969.8","7.9","7.78"
"Apr-2009","3346.8","3346.5","2804","2270.4","4.1","413.7","115.8","301.5","542.4","1443.4","1352.7","90.7","1903.1","1451.3","451.8","1749.9","1659.3","90.7","1596.8","1144.7","451.8","0.3","3091.6","2798.7","597.6","400.6","1590","13.3","91","19.9","87.2","281.9","47.1","587.5","210.6","292.9","547.7","-1494.7","465.8","255.2","8.41","8.4"
"Mar-2009","4128.9","4128.7","2464.3","1679.9","8.6","657.4","118.3","543.1","1664.4","568.4","568.4","0","3560.3","1895.9","1664.4","885.2","885.2","0","3243.7","1579.1","1664.4","0.2","4090.9","3306.7","552.2","409.2","1879.2","13.8","5.2","22.5","115.4","486.1","50","317.9","466","784.2","822","-847.2","504","38","8.68","8.5"
"Feb-2009","1300","1282.1","832.9","427","3.3","284.1","118.5","189.5","449.2","414.7","36.3","378.4","867.4","796.6","70.8","428.8","50.4","378.4","871.2","782.5","70.8","18","2746.8","2365.2","512.2","375.4","1236.7","21","1.7","11.7","115.8","432.5","77.2","246.5","240.9","381.7","-1083.1","-1875.6","-1205.9","-1446.8","8.72","8.7"
"Jan-2009","4440.6","4440.5","4317.3","3582.6","4.3","587.2","143.3","483.1","123.2","3138.9","3068.1","70.8","1301.7","1249.3","52.4","3151.6","3080.8","70.8","1289.1","1236.6","52.4","0.1","5352.1","4894.2","520.9","688","3495","16.5","206","19.9","98.3","775.3","159.2","628","190.3","457.9","-453.7","-4063.1","-721.2","-911.5","8.74","8.6"
"Dec-2008","4252.9","4252.2","4218.5","3569.6","1.4","450.6","196.9","290.1","33.7","1356.8","1350.6","6.3","2895.4","2868","27.4","2576.5","2570.2","6.3","1676.4","1648.3","27.4","0.7","3780.1","3084.8","597.2","408.3","1741.6","21.8","3","17.8","89.6","470.1","151.1","469.2","337.7","695.3","1167.4","-2103.8","810.4","472.7","8.78","8.74"
"Nov-2008","2616.9","2616.9","1982.2","1214.5","2.6","554.6","210.5","422.8","634.8","1448.5","871.4","577.1","1168.4","1110.7","57.7","1448.5","871.5","577.1","1168.4","1110.7","57.7","0","3844.8","3140.7","515.7","468","1807.1","28","2.5","15.6","110","208","145.1","855.3","349.9","704.1","-523.8","-2676.4","-878","-1227.9","8.78","8.69"
