"Date","Commercial Banks Average Excess Reserves (TT$Mn)","Central Government Net Domestic Fiscal Injections (TT$Mn)","Net Open Market Operations (TT$Mn)","Commercial Bank Required Reserves (TT Millions)","Commercial Bank Cash Reserves (TT Millions)","Commercial Bank Excess Reserves-End of Period (TT Millions)","Prescribed Deposits Liabilities (Adj.) (TT Millions)","Commercial Banks' Deposits - Secondary Reserve Requirements, Fixed Deposits & Special Deposits (TT Millions)","Commercial Banks' Treasury Bills (TT Millions)","Commercial Banks Local Cash in Hand (TT Millions)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","9713.1","1083.1","0","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Apr-1993","n.d","n.d","n.d","1316.1","1158.0","-158.1","8225.6","4.0","n.d","96.5"
"Mar-1993","n.d","n.d","n.d","1301.9","1125.4","-165.9","8136.9","0.4","n.d","125.4"
"Feb-1993","n.d","n.d","n.d","1296.0","1190.8","-92.0","8100.0","0.4","n.d","117.6"
"Jan-1993","n.d","n.d","n.d","1300.5","1218.7","-81.8","8128.1","0.1","n.d","118.3"
"Dec-1992","n.d","n.d","n.d","1304.7","1124.8","-179.9","8154.4","23.3","n.d","200.7"
"Nov-1992","n.d","n.d","n.d","1316.7","1119.8","-196.9","8229.4","0.8","n.d","150.0"
"Oct-1992","n.d","n.d","n.d","1323.8","1314.5","-9.3","8273.8","8.4","n.d","115.5"
"Sep-1992","n.d","n.d","n.d","1327.8","1267.0","-60.8","8298.8","41.6","n.d","143.7"
"Aug-1992","n.d","n.d","n.d","1354.2","1367.8","13.5","8463.8","3.7","n.d","106.2"
"Jul-1992","n.d","n.d","n.d","1343.5","1354.5","11.0","8396.9","39.2","n.d","115.2"
"Jun-1992","n.d","n.d","n.d","1336.0","1268.2","-67.8","8350.0","9.7","n.d","154.9"
"May-1992","n.d","n.d","n.d","1332.8","1355.2","22.4","8330.0","30.9","n.d","112.1"
"Apr-1992","n.d","n.d","n.d","1331.4","1306.9","-24.5","8321.3","0.0","n.d","137.0"
"Mar-1992","n.d","n.d","n.d","1328.1","1312.3","-15.9","8300.6","0.2","n.d","134.6"
"Feb-1992","n.d","n.d","n.d","1348.2","1317.2","-31.1","8426.3","0.1","n.d","115.0"
"Jan-1992","n.d","n.d","n.d","1381.5","965.5","-416.0","8634.4","0.1","n.d","114.7"
"Dec-1991","n.d","n.d","n.d","1385.0","1321.4","-63.6","8656.3","0.0","n.d","218.7"
"Nov-1991","n.d","n.d","n.d","1391.7","1408.6","16.9","8698.1","0.1","n.d","118.0"
"Oct-1991","n.d","n.d","n.d","1401.5","1422.4","20.9","8759.4","0.0","n.d","125.9"
"Sep-1991","n.d","n.d","n.d","1394.8","1389.8","-5.0","8717.5","7.4","n.d","126.1"
"Aug-1991","n.d","n.d","n.d","1389.8","1394.1","4.3","8686.3","0.3","n.d","127.6"
"Jul-1991","n.d","n.d","n.d","1055.0","1042.4","-12.6","8791.7","100.6","n.d","128.9"
"Jun-1991","n.d","n.d","n.d","1058.9","1045.0","-13.9","8824.2","15.0","n.d","112.2"
"May-1991","n.d","n.d","n.d","1051.2","1091.3","40.1","8760.0","57.0","n.d","113.2"
"Apr-1991","n.d","n.d","n.d","1035.5","978.2","-57.3","8629.2","16.6","n.d","134.1"
"Mar-1991","n.d","n.d","n.d","1031.1","970.7","-60.4","8592.5","80.5","n.d","108.4"
"Feb-1991","n.d","n.d","n.d","1032.2","974.7","-57.5","8601.7","10.3","n.d","125.4"
"Jan-1991","n.d","n.d","n.d","1024.7","967.4","-57.3","8539.2","26.2","n.d","128.0"
"Invalid date","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
