"Date","Commercial Banks Average Excess Reserves (TT$Mn)","Central Government Net Domestic Fiscal Injections (TT$Mn)","Net Open Market Operations (TT$Mn)","Commercial Bank Required Reserves (TT Millions)","Commercial Bank Cash Reserves (TT Millions)","Commercial Bank Excess Reserves-End of Period (TT Millions)","Prescribed Deposits Liabilities (Adj.) (TT Millions)","Commercial Banks' Deposits - Secondary Reserve Requirements, Fixed Deposits & Special Deposits (TT Millions)","Commercial Banks' Treasury Bills (TT Millions)","Commercial Banks Local Cash in Hand (TT Millions)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","9713.1","1083.1","0","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Apr-2008","316.7","-89.6","-924.9","4558.5","4729.9","171.4","35065.4","2193.2","1814.1","657.4"
"Mar-2008","482.9","1886.7","-231.3","4398.3","5619.1","1220.8","33833.1","2175.4","2143.4","627.2"
"Feb-2008","383.9","2016.7","-494.4","4308.4","4688.9","380.5","33141.5","2161.7","2095.6","518.9"
"Jan-2008","87.8","-708.7","-176.4","3701.9","3720.9","19.0","33653.6","2172.0","2066.1","775.3"
"Dec-2007","219.4","1350.9","-660.7","3625.4","3928.0","302.6","32958.2","2158.6","2196.7","1022.5"
"Nov-2007","384.8","2115.1","-1760","3577.4","3724.8","147.4","32521.8","2150.4","1957.1","524.7"
"Oct-2007","285.3","1194.7","-434.6","3478.8","4050.1","571.3","31625.5","2132.5","1461.6","608.4"
"Sep-2007","231.9","451.6","-446.6","3478.1","4248.9","770.8","31619.1","2132.4","1564.3","505.3"
"Aug-2007","406.9","1514.9","-997.1","3404.7","3797.0","392.3","30951.8","2119.0","2121.4","542.7"
"Jul-2007","165.9","932.4","-724.2","3272.2","3715.8","443.6","29747.3","2096.7","1738.4","557.1"
"Jun-2007","418.9","1862.5","-266.8","3222.4","4083.8","861.4","29294.5","2083.9","1595.7","503.8"
"May-2007","68.4","348.1","-859","3159.5","3251.7","92.2","28722.7","2074.5","1212.2","581.4"
"Apr-2007","322.1","905.8","-237.9","3125.3","3095.0","-30.3","28411.8","2068.2","1304.4","462.9"
"Mar-2007","285.7","1059.6","-760.2","3131.6","3716.3","584.7","28469.1","2069.4","1349.6","522.5"
"Feb-2007","180.9","1535.1","85","3188.6","3424.5","235.9","28987.3","2079.7","1555.1","625.7"
"Jan-2007","153.2","-414.5","181.7","3179.0","3304.5","125.5","28900.0","2078.0","1652.1","565.5"
"Dec-2006","375.6","910.6","515","3087.8","3626.6","538.8","28070.9","2061.4","1952.1","906.0"
"Nov-2006","232.9","1991.4","260","3052.3","3293.3","241.0","27748.2","2055.0","1852.3","594.2"
"Oct-2006","573.1","1092.1","-207.7","3048.9","3457.1","408.2","27717.3","2054.3","2046.6","554.1"
"Sep-2006","583","2368.7","-565","2944.6","4215.4","1270.8","26769.1","1500.0","2546.0","486.3"
"Aug-2006","821.8","1851.6","-720","2890.1","3192.0","301.8","26273.6","1500.0","2006.7","515.5"
"Jul-2006","286","-7.4","340","2841.1","3757.4","916.3","25828.2","1500.0","1559.1","462.4"
"Jun-2006","1035.9","769.9","115","2846.3","3543.9","697.6","25875.5","1500.0","2219.9","507.1"
"May-2006","181.4","613","3","2769.2","3154.6","385.4","25174.5","1000.0","2088.2","526.3"
"Apr-2006","128.2","-628.8","-347","2694.9","2808.6","113.7","24499.1","1000.0","1910.9","520.6"
"Mar-2006","167.3","1373.1","-537","2711.7","3853.4","1141.7","24651.8","1000.0","1977.9","464.1"
"Feb-2006","63.3","694.8","647.7","2742.9","2916.6","173.7","24935.5","1000.0","2040.6","486.6"
"Jan-2006","427.1","-335","-130","2730.4","2913.8","183.4","24821.8","1000.0","1981.2","474.0"
"Dec-2005","n.d","n.d","n.d","2601.9","3672.5","1070.6","23653.6","1000.0","1908.0","566.0"
"Nov-2005","n.d","n.d","n.d","2517.3","2550.8","33.5","22884.5","535.8","2548.2","508.5"
"Oct-2005","n.d","n.d","n.d","2478.9","2434.1","-44.8","22535.1","263.9","2557.2","465.0"
"Sep-2005","n.d","n.d","n.d","2422.9","2471.8","48.9","22026.4","867.3","2670.9","424.2"
"Aug-2005","n.d","n.d","n.d","2347.7","2380.3","32.6","21342.7","888.9","2230.2","494.4"
"Jul-2005","n.d","n.d","n.d","2289.5","2371.5","82.0","20813.6","248.2","2148.9","417.2"
"Jun-2005","n.d","n.d","n.d","2250.7","2980.0","729.2","20460.9","193.0","2394.9","511.8"
"May-2005","n.d","n.d","n.d","2189.9","2162.3","-27.6","19908.2","538.9","2483.5","469.7"
"Apr-2005","n.d","n.d","n.d","2134.1","2191.3","57.2","19400.9","379.0","2824.6","369.6"
"Mar-2005","n.d","n.d","n.d","2149.2","2210.5","61.3","19538.2","616.1","2316.2","488.3"
"Feb-2005","n.d","n.d","n.d","2052.9","2024.9","-28.0","18662.7","825.0","2434.2","387.8"
"Jan-2005","n.d","n.d","n.d","2067.4","2086.4","19.0","18794.5","574.0","2032.8","354.2"
"Dec-2004","n.d","n.d","n.d","2055.1","2121.6","66.5","18682.7","660.9","1847.9","596.8"
"Nov-2004","n.d","n.d","n.d","1966.8","1963.1","3.7","17880.0","408.0","1999.4","440.1"
"Oct-2004","n.d","n.d","n.d","1927.6","1941.3","13.7","17523.6","550.5","1760.4","336.4"
