"Date","Central Government Total Revenue (TT$Mn)","Central Government Curent Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Curent Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods and Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Overall Fiscal Balance (TT$Mn)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Dec-1995","2440.3","2405.2","2044.6","1170.9","4.4","714.1","138.7","447.6","360.6","497.6","338.9","158.7","1907.6","1705.7","197.5","497.6","338.9","158.7","1864.3","1705.7","158.7","35.1","2924.2","2582.2","850","246.6","868.9","11.8","35.6","16.9","48","330.3","58.9","381.6","591.6","342","-177","-1059.9","-1075.6","-483.9"
"Sep-1995","1938.8","1935.8","1571","875.9","15.9","541.9","122.3","345.3","364.8","511.1","372.7","138.4","1424.7","1198.3","230","511.1","372.7","138.4","1336.7","1198.3","138.4","3","1792.5","1684.1","695.2","205.4","504.5","7.6","16.4","9.4","44.7","258.7","9.5","159.7","276","108.5","251.7","-455.8","-129.7","146.3"
"Jun-1995","2120.9","2118.5","1765.3","1206.5","32","396.6","116","188.7","353.2","803.4","679.9","123.5","1315.2","1085.4","217.9","803.4","679.9","123.5","1209","1085.4","123.5","2.3","1951.4","1852.8","708.2","226","499.1","7.3","20.4","9.3","46.9","236.2","29.2","149.7","418.1","98.5","265.7","-742.4","-248.6","169.5"
"Mar-1995","2011.8","1996.3","1817.8","1080.5","8.6","599.2","116.9","363.1","178.4","742.7","610.4","132.3","1253.6","1207.5","45.9","742.7","610.4","132.3","1339.8","1207.5","132.3","15.6","1790.4","1717","631","179.9","614.7","29.3","15.2","8.5","84.1","215.3","60","198.8","291.1","73.4","279.3","-450.6","-69.7","221.4"
"Dec-1994","2597.4","2564.2","1930.9","1055.7","66","643","154.1","334.5","633.3","733.4","586.6","146.8","1830.7","1344.2","418.4","733.4","586.6","146.8","1491","1344.2","146.8","33.3","2123.7","1968.6","746.7","185","611.8","7.4","17.1","15.8","71.8","292.6","21.4","201.5","408.9","155.1","595.6","-632.7","64.8","473.8"
"Sep-1994","1774.1","1774.3","1572.2","906.7","6.3","499","149.2","307.9","202.1","447.9","330.9","117","1326.3","1241.3","142.7","447.9","330.9","117","1358.3","1241.3","117","-0.2","1929.7","1816.3","626.8","200.8","570.3","11.2","24.4","9.6","38.1","293.4","15.8","182.1","412.7","113.4","-42","-571.4","-568.3","-155.6"
"Jun-1994","1762.3","1758","1426.4","770.4","30.5","468.6","142.9","268.9","331.6","421.7","299.4","122.3","1336.3","1127","141.2","421.7","299.4","122.3","1249.3","1127","122.3","4.3","1747.7","1635.8","609.3","193.2","501.2","9","16.3","8.3","38.2","277.7","6.2","157.5","330.8","111.9","122.2","-498.4","-316.2","14.6"
"Mar-1994","1431","1408.5","1343.7","641.5","6.8","554.7","132.6","347.7","64.8","292.9","261.6","31.3","1115.6","1082","33.3","292.9","261.6","31.3","1113.3","1082","31.3","22.5","1769.9","1682.7","609","151.5","499.9","10.4","5","8.1","39","213.2","25.6","204.7","422","87.2","-274.2","-656.6","-760.9","-338.9"
"Dec-1993","1909.1","1889.7","1555.5","801.6","19.4","533.1","189.9","256.5","334.2","486.6","282.4","204.2","1403.1","1273.1","117.2","486.6","282.4","204.2","1477.3","1273.1","204.2","19.4","1915.8","1820","657.4","168.7","458.2","12.4","12.1","8.8","30.3","204.2","2.3","177.3","529.9","95.8","69.7","-438.5","-536.6","-6.7"
"Sep-1993","1561.4","1560.5","1323.6","658","8.6","496.4","153.1","316.2","236.9","378.3","258","120.3","1182.2","1065.7","107.2","378.3","258","120.3","1186","1065.7","120.3","0.8","1648.9","1538.9","640.3","136.4","447","14.6","8.8","7.5","33.7","185.9","16.1","157.8","313.9","110","21.6","-462.9","-401.5","-87.5"
"Jun-1993","1674.6","1672.4","1482.1","776.3","37.2","506.7","154.1","302.8","190.2","459.5","363.1","96.4","1212.8","1119","81.7","459.5","363.1","96.4","1215.5","1119","96.4","2.2","1667.2","1594.4","640.3","135.4","500.7","28.2","6.6","8.2","39.4","193","15.9","191.6","317.1","72.8","78","-451.7","-309.7","7.4"
"Mar-1993","1598.5","1598.5","1336.8","612.8","7.1","577.9","131.4","287.6","261.6","479.7","378.7","101","1118.7","958.1","155.7","479.7","378.7","101","1059.2","958.1","101","0","1551.5","1529.5","634.7","70.1","538.8","15.4","1.3","7.7","33.1","194.1","54.8","214.1","285.7","22","69","-492.4","-238.7","46.9"
"Dec-1992","1712.3","1710.8","1441.7","772.7","8.3","477.6","174.9","287.6","269.1","392.8","293.5","99.3","1318","1148.2","150.6","392.8","293.5","99.3","1247.4","1148.2","99.3","1.5","1924.8","1724.4","744","52.6","659.6","10.5","18.2","45.8","35.9","161.4","0","381.6","262.6","200.4","-13.7","-677.4","-475.2","-212.6"
"Sep-1992","1436.8","1436.1","1270","593.6","5.7","518.6","145.6","264.2","166.1","405.3","305.9","99.4","1030.8","964","54.8","405.3","305.9","99.4","1063.4","964","99.4","0.7","1756","1656.1","605.6","156.8","504.7","2.8","8.6","44.4","39.2","190.8","0","221.5","387.2","99.9","-220","-692.6","-706.3","-319.2"
"Jun-1992","1641","1625.2","1405.3","891.2","20.7","361.9","124.9","202.9","220","543.4","461.8","81.6","1081.8","943.4","123.7","543.4","461.8","81.6","1025","943.4","81.6","15.8","1671.6","1573.9","608.7","139.1","484.4","0.5","6.4","44.9","44.9","177.9","0","217.9","340.5","97.6","51.3","-646.5","-371.1","-30.6"
"Mar-1992","1310.8","1310.8","1161.1","611.1","5","414.4","123.8","213.8","149.7","476.1","357.9","118.1","834.7","803.2","26.5","476.1","357.9","118.1","921.3","803.2","118.1","0","1376.4","1324.7","543.3","107.8","428.4","1","1.4","44.2","24.6","162.5","0","201.8","244.8","51.7","-13.9","-455.1","-310.4","-65.6"
"Dec-1991","1926.8","1916.4","1640","1068","8.5","387.8","168.4","272.3","276.5","717.5","612.7","104.8","1198.9","1027.3","150.4","717.5","612.7","104.8","1132.1","1027.3","104.8","10.3","2005.8","1848.4","571.1","257.9","625.4","74.2","11.4","3.3","46.1","243.1","0","226.9","376.7","157.4","68.1","-873.7","-455.7","-79"
"Sep-1991","1417","1416.6","1210.6","633.5","7.6","422.2","139.8","273.8","206","507.8","407.5","100.3","908.8","803.1","97.3","507.8","407.5","100.3","903.4","803.1","100.3","0.4","1559.5","1449.5","552.3","149.4","474.1","50.6","14.1","10.8","27.5","150.2","0","189.1","270.1","109.9","-32.9","-656.1","-412.6","-142.5"
"Jun-1991","1656.3","1649.3","1363.9","839.8","21.6","371.3","125","201","285.4","657.6","517.3","140.3","991.7","846.6","138.7","657.6","517.3","140.3","986.9","846.6","140.3","6.9","1545","1458.8","551.6","121.6","507.8","52.4","4.3","10.9","38.8","186.3","0","191.2","275.6","86.2","190.5","-558.1","-164.4","111.2"
"Mar-1991","1750.6","1750.5","1482.8","920.8","6.3","434.6","114.4","307.4","267.7","834.6","661.7","173","915.9","821.1","87.2","834.6","661.7","173","994.1","821.1","173","0.1","1695","1303.9","548.9","83.9","512.5","58.8","13.5","11","32.7","163.8","0","207.4","156.6","391.1","446.6","-701","-101.1","55.5"
