"Date","Commercial Banks & NFIs – Credit to the Private Sector (TT$Mn)","Currency in Active Circulation (TT$Mn)","Commercial Bank Reserves with Central Bank (TT$Mn)","Demand Deposits (Adj.) (TT$Mn)","Saving Deposits (Adj.) (TT$Mn)","Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Demand Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Savings Deposits (Adj.) (TT$Mn)","NFIs - Foreign Currency Deposits (Adj.) (TT$Mn)","Banking System: Net Domestic Credit (TT$Mn)","Loans and Advances to Central Government (TT$Mn)","Banking System: Credit to the Private Sector (TT$Mn)","Base Money M-0 (TT$Mn)","Narrow Money M-1A (TT$Mn)","Money Supply M-1C (TT$Mn)","Money Supply M-2 (TT$Mn)","Money Supply M-2* (TT$Mn)","Money Supply M-3 (TT$Mn)","Money Supply M-3* (TT$Mn)","Quasi Money (TT$Mn)","Commercial Banks & NFIs - Total Deposits Outstanding (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Unincorporated Businesses (TT$Mn)","Banking System Investments (TT$Mn)","Commercial Banks & NFIs - Total Investment (Net) - TT$Mn","Commercial Banks & NFIs - Reserves (TT$Mn)","Commercial Banks & NFIs - Share Capital (TT$Mn)","Commercial Banks & NFIs - Total Loans Outstanding (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Loans (Net) (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Unincorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Other Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Real Estate Mortgage Loans (TT$Mn)"
"Aug-2019","65836.50","7812","17819.3","35632.3","33798.7","10248.2","24971.1","3534.5","7763.7","15061.1","807.7","48020.7","-24396.7","61531.8","25631.4","43444.3","77243.0","87491.2","112462.3","89040.2","114818.7","44046.9","110334","53618.4","29018","3905.7","11487.6","8811.2","3493.3","31841.2","34036.5","1324.1","22609","76234.7","35550.2","28797.4","6682.2","74695.9","622.3","2407.6","2175.1","10985.9","150612","22806.4"
"Jul-2019","65377.00","7773.8","18025.1","35226.2","33819.6","10209.0","24836.0","3565.3","7507.2","15101.6","806.9","46899","-24952.2","61051.8","25798.8","43000","76819.6","87028.7","111864.7","88565.8","114208.4","44028.7","110210","53785.2","28798.6","3829.4","10916.1","9413.1","3467.5","31275.5","33027.2","1344.3","22231.5","76637.3","35224.3","28385.9","8014.3","75114.7","569.6","2269.9","2173.3","11222.2","151089","22594.6"
"Jun-2019","65030.40","7908.4","17614.7","35734.1","34081.8","9872.0","25152.4","3766.6","7589.2","15102.7","838.2","46164.4","-25913.4","60715.8","25523.2","43642.5","77724.3","87596.3","112748.6","89199.3","115189.5","43953.8","110794","53735.2","27725.6","5710.5","10936.5","9431.8","3254.7","30969.9","32253.6","1283.5","22289.9","75026.1","35118.3","27736.4","7042.7","73512.8","629","2376.9","2122.9","10922.8","149693","22491.8"
"May-2019","64495.10","7890.6","18116.9","35699.1","34167.3","9865.1","24889.5","3722.9","7819.3","14709.4","823.5","46755.2","-24609","60284","26007.4","43589.7","77757.0","87622.1","112511.6","89129.7","114842.4","44032.4","110232","54148.1","28471.7","3810.6","11440.1","8855","3506.5","31611.8","33183","1238","22108.8","74591.6","34869.1","27500.2","6751","73038.7","899.2","2401.6","2170.5","10931.9","148587","22036.3"
"Apr-2019","64481.50","7811.6","15645.2","35732.5","34021.7","10105.0","23973.6","3597.4","7309.7","14433.8","810.5","43116.4","-28226.5","60249.2","23456.9","43544.2","77565.9","87670.8","111644.4","89241.3","114025.1","44126.7","109270","54056.9","27905.9","4453.2","10872.3","8549","3432.7","33403.8","35381.7","1503.7","22023.5","74228","34678.4","27303.7","6759.7","72681.4","917.8","2367.1","2201.4","10524.5","147212","21858.9"
"Mar-2019","64363.40","7699.2","15760.1","35892.7","34471.3","10358.8","23530.7","3490.3","6349.9","14940.0","802.6","42775.8","-28770.1","60394.6","23459.3","43591.9","78063.2","88422","111952.7","89757.3","114056.6","44830.1","110354","54532.8","28022.9","4519","10437.9","9367.9","3473.6","34528","36470","1387","21942.6","74579.3","34620.5","27329.3","6836","72981.8","1005.6","2507.9","2280.1","10362.6","148208","21928.9"
"Feb-2019","64092.90","7878.5","16175.8","35320.9","34413.1","9981.9","23252.8","3544.9","7745.5","14580.2","780.6","41028","-30198.7","60054.8","24054.3","43199.4","77612.5","87594.4","110847.2","89005.5","113038.9","44395","109593","54437.1","27432.5","4077.9","11641.6","8537.5","3466.7","32758.5","34670.2","1375.4","21637.7","74248.2","34522.4","27241.4","6787.9","72681.7","984.8","2462.6","2249","11017.6","148140","21710.5"
"Jan-2019","63824.50","7737","16538.9","35465.3","34255.9","10154.5","24035.9","3498.6","6873.6","14949.8","771.7","41763.9","-29236.8","59805.9","24275.8","43202.3","77458.2","87612.6","111648.6","89090.4","113898.1","44410.3","109429","54222.8","27562.2","4299.3","10945.9","8931.4","3467.7","33065.1","34972.9","1327.4","21436.3","74206.3","34216","27264.3","6794.3","72635.1","1009.3","2663.7","2258.9","11309.5","147362","21535.4"
"Dec-2018","63900.00","7941.2","16082.5","37035.6","34218.0","10231.1","24416.5","3391.5","7232.6","14979.3","906.0","44892.6","-26287.5","59887.6","24023.7","44976.8","79194.8","89425.8","113842.4","90886.5","116209.0","44449","110825","54149.5","28829.8","3777.9","11806.4","8704.4","3557.4","34450.7","36361.3","1714.5","21316.4","74126.5","34213.5","27104","6879.5","72533.6","1050.2","2630.2","2249","12078.7","149466","21334.3"
"Nov-2018","63857.40","7745.8","17614.5","36806.7","33163.7","9693.0","23032.6","3397.8","6755.4","14134.3","880.9","44368.5","-26159.1","59878.2","25360.3","44552.4","77716.1","87409.1","110441.7","88865.4","112778.9","42856.7","108142","52928.2","27900.3","4679.5","11099.8","8116.1","3418.4","32027.3","34028","1222.5","21369","72664.4","33796.2","27561.8","6474.3","71215.1","764.5","1953.3","2114.4","12721.2","147507","21254.3"
"Oct-2018","62580.40","7597.2","15519.9","35593.5","32520.8","9930.1","22692.4","3900.6","6063.1","13949.6","788.3","39258.6","-29627.2","58578.1","23117","43190.7","75711.4","85641.6","108333.9","87160.2","110640.9","42450.9","106093","52191.7","27023.6","3211","11662.7","8517","3487","33167.3","35321.6","1322.5","22337","70753.7","33278.6","26859.8","5836.9","69316.2","705.6","2008.7","2064.1","11862.4","144873","21068.6"
"Sep-2018","62968.80","7722.4","17116.4","36707.3","32601.8","9473.1","22934.7","3821.7","6273.2","14042.5","777.4","43790.8","-25439.8","58787","24838.8","44429.7","77031.5","86504.6","109439.3","88015.3","111727.4","42074.9","106735","52399.4","27433.2","3329.4","11705.6","8286.8","3580.2","33798.6","36398.3","1254.3","22047","70870.8","33189.1","27273.4","5992.4","69372.6","508","1856","2051.8","12820.5","146961","20971.5"
"Aug-2018","63156.30","7716.2","19309.2","37006.3","32413.1","9013.4","23378.7","3703.7","6496.7","14476.0","650.7","40026","-28790.5","58916.7","27025.5","44722.5","77135.6","86149","109527.7","87441.0","111470.3","41426.5","107095","54056.8","26963.4","3120.9","10885.5","7881.7","4186.3","31052.1","33703.7","1371.9","22001.7","70574.8","33254.1","27421.4","5446.4","69072","495.6","1917.9","2039.3","11902.6","146050","21039.4"
"Jul-2018","62583.80","7712.3","18309.2","34640.5","32503.9","9748.5","23345.0","3734.8","6591.1","14310.2","623.2","40166.5","-28338.5","58370.6","26021.6","42352.8","74856.7","84605.2","107950.2","86049.8","110017.9","42252.4","105486","52545.3","25368.3","3172.2","11563.4","9138.3","3698.8","34058.4","34943.2","1499.9","21875.8","70294.3","32951.1","27102.6","5595.2","68800.8","748.4","1890.5","2006.7","12241.4","145101","20774.2"
"Jun-2018","62380.70","7811.2","17434.5","35346.2","32723.0","9922.1","23342.6","3591.3","6572.3","14447.7","568.7","38310.4","-30249.6","58253.7","25245.7","43157.4","75880.4","85802.5","109145.1","87311.9","111223.2","42645.1","106477","52618","26246.3","3153.1","11668.5","9047.5","3744","35020.1","36209.8","1281","21686.8","70274","32920.1","27002.3","5607.2","68806","747.9","2045.8","1950.7","12054.9","145267","20631.1"
"May-2018","62058.60","7848.6","17464.6","34645.9","32725.2","10080.7","23349.4","3559.7","6821.3","14177.3","538.2","37392.1","-30890.9","57963.7","25313.2","42494.5","75219.7","85300.4","108649.7","86867.2","110754.8","42805.9","106074","52597.4","25835.2","3111.8","11588.8","9092.2","3849.1","34850.7","36220","1338.2","21785.3","69953.2","32787.2","26859.5","5608.5","68426.7","827.9","1966.2","1903.9","11855.7","145105","20449.2"
"Apr-2018","62298.70","7840.2","17441.4","34891.0","32632.4","10079.0","23666.3","3954.7","7029.4","13884.8","540.0","36724.9","-32522.5","58221.9","25281.6","42731.1","75363.5","85442.4","109108.7","86986.7","111193.0","42711.3","105802","52393.5","26023.7","2626.8","11722.2","9159","3876.4","32621.3","34051.6","1209.4","21694","71555","32466.2","27352.9","5418.7","70039.8","830.7","3577.9","1908.6","12340.6","145254","20272.2"
"Mar-2018","62160.80","7889.3","16610.9","35362.4","32715.4","10422.2","23483.5","3854.7","7020.0","13775.2","478.2","37806.9","-31263.5","57805.7","24500.2","43251.7","75967.1","86389.2","109872.7","87956.0","111917.7","43137.6","106191","52549","25750.9","2785.8","11166.2","10106.9","3832","33415.9","34703.9","1292","21611.9","71724.3","32633.4","27106.3","5652.9","70184.2","851.9","3563.2","1916.7","11501.1","144660","20128.4"
"Feb-2018","61868.10","7745","18310.1","36257.8","32615.6","10310.8","23773.0","3753.2","7091.5","14144.3","409.4","40213.2","-28037.7","57526.5","26055.1","44002.8","76618.4","86929.2","110702.2","88527.4","112709.7","42926.4","107369","52411.6","26737","2882.8","11815.8","9601.5","3920.3","33363.4","33998.6","1362.4","21612.5","71162.4","32530.6","27064","5218.4","69685.4","871.5","3585.3","1892.5","11482.1","145402","20013.6"
"Jan-2018","61826.30","7834.2","19003.2","35322.4","32383.1","10205.4","22976.2","3627.6","6681.1","13956.6","392.8","40758.2","-27610.2","57524","26837.4","43156.6","75539.7","85745","108721.3","87355.4","110724.5","42588.4","105328","52254.1","25766.9","2678.9","11390.4","9319.8","3918","32484.9","32623.8","1286.5","22434.4","71153.7","32488.2","27119.8","5281.1","69690","612.2","3753.6","1898.9","11020.9","143713","20023.4"
"Dec-2017","61239.10","8104.1","17092.3","35908.7","32578.3","10163.5","23986.1","3689.0","7228.4","14247.6","398.5","40278.9","-27879.9","56945.1","25196.4","44012.7","76591.0","86754.6","110740.7","88337.0","112721.6","42741.8","107058","52658.4","26528.4","3044.8","10985","9165.2","4676.4","34907.3","34690.6","1540.5","22279.4","70888.6","32421.7","26519","5390","69497.2","653.8","4007.9","1896.2","11701.8","145650","19983.3"
"Nov-2017","60370.20","7859.1","17870.0","34656.6","32651.9","10236.9","24133.6","3679.0","7179.4","14444.1","370.8","38450.4","-28473","56108.9","25729.1","42515.7","75167.6","85404.4","109538.1","86966.3","111470.8","42888.8","106134","52620.4","26721.6","2961.2","11008.8","8937.4","3884.2","35185.6","35478.5","1275.4","22502.1","69389.2","31779.3","25983.8","5184.1","68050.6","670.9","3813.3","1957.8","11348.8","145094","19608.2"
"Oct-2017","59896.20","7753.7","16676.8","34647.3","32374.8","10136.5","23594.8","3084.9","6794.4","14926.7","375.1","37701.8","-29094.6","55650.9","24430.6","42401","74775.8","84912.3","108507.1","86501.0","110470.8","42511.3","105150","52496.9","25709.9","2856.9","11122.6","8645.4","4318.4","35769.4","36478.1","1372.7","22793","69150.2","31367.1","25913.4","5078.4","67906.1","684.2","4178.4","1928.7","11712.3","144742","19473.8"
"Sep-2017","59449.60","7805","16533.5","35037.7","32479.0","10036.6","23575.0","3817.7","6793.2","14145.2","399.2","37748.9","-28225.7","55207.7","24338.5","42842.7","75321.7","85358.2","108933.2","86978.9","110953.1","42515.5","105043","52592.5","25858.3","2932.8","11413.8","8105.9","4139.6","36041.2","36592.5","1307.4","22416.7","68431.4","31312.7","25528.8","4949.2","67142.8","649.7","4080.9","1910.1","12269.4","144934","19494.6"
"Aug-2017","59201.00","7728.2","17838.2","35292.8","32400.0","9639.9","23544.1","3651.7","6624.9","14484.0","1013.0","35238.7","-30310","54964.1","25566.5","43021","75421.0","85061","108605.1","86666.9","111223.9","42039.9","105872","52685.1","26765.2","2966.1","11271.5","8219.6","3964.1","35105","36036.1","1346","22372.6","67957.4","31014.3","25583.8","5005","66564.3","632.2","3805.6","1916.5","11886.1","144348","19246.2"
"Jul-2017","59074.00","7899","17393.2","34778.1","32311.2","9607.3","23242.8","3616.3","6357.1","14588.5","975.8","32237.7","-33170","54763.6","25292.1","42677.1","74988.3","84595.7","107838.5","86208.7","110427.4","41918.6","104929","52802.5","26023.6","3238.6","10966","8036","3862.8","34801.1","34836.7","1293.1","22129","67848.1","30895.9","25559.9","4960.3","66464.8","640","3884.6","1907.4","12025.2","143858","19169.8"
"Jun-2017","58947.80","7894.6","17140.1","36290.7","32490.2","9619.8","23784.0","3577.3","6662.5","14855.1","942.4","33120.5","-32436.4","54603.1","25034.7","44185.3","76675.5","86295.3","110079.3","87913.8","112640.3","42110","107009","53215.7","27083.1","3431.7","10570","8835","3873.3","35715.4","36736.6","1338.3","21915.4","67878.1","30748.1","25676.8","5148","66503.8","505.5","3884.3","1915.5","12273.2","145852","18827.7"
"May-2017","58768.70","7860.2","18614.6","36949.5","32461.3","9748.9","23431.5","3618.0","6378.1","14835.3","1032.3","34631.8","-30898.8","54404.9","26474.7","44809.7","77271.0","87019.9","110451.4","88757.8","113221.5","42210.2","108003","53232","26616.8","3534","11175.2","9409.9","4035.4","35480.7","36730.9","1324.1","21983","67662.2","30682.1","25574.3","5214.5","66307.1","469.4","3832","1889.8","11866","146806","18746.2"
"Apr-2017","59030.10","7888.9","20119.6","37005.6","32944.1","10122.8","23177.8","3585.5","6302.4","14831.7","1230.7","35136.6","-30596.3","54616.3","28008.6","44894.5","77838.6","87961.5","111139.3","89918.3","114326.8","43066.9","109364","53860.7","26439.7","3237.4","12025.6","9806.5","3994","34945.4","35288","1233.7","22086.6","68264.4","30782.7","25830.6","5479.8","66919.7","490.8","3800.2","1880.3","11805.8","147810","18702.1"
"Mar-2017","58706.80","7854.2","18733.1","36147.4","32915.0","10174.2","24040.2","3562.9","6272.0","15617.4","1002.7","35478.7","-30348.3","54399.6","26587.3","44001.6","76916.6","87090.8","111130.9","89089.0","114131.9","43089.2","108562","53647.2","26839.2","3569.1","11405.9","9095.2","4005.6","36018.3","36852.8","1229.9","21806.4","68173.3","30655.4","25589.4","5719.7","66833.4","498.6","3819.6","1890.4","12530.8","147389","18616.7"
"Feb-2017","58760.70","7791.6","20357.7","36108.9","33007.6","10351.1","23677.5","3511.2","6046.5","15679.5","986.1","36626.4","-29058","54443","28149.3","43900.5","76908.0","87259.1","110936.6","89285.4","113948.9","43358.6","108510","53604.5","27142.2","3396.7","11465.5","8840.7","4060.1","34871.8","34192.5","1273.1","21713.6","68476.4","30759.7","25685.1","6003","67183.9","586.2","3616.5","1826","12241.2","147229","18572"
"Jan-2017","58195.40","7639.8","19296.8","35831.3","32437.0","10544.5","23791.2","3196.0","6684.1","15478.0","981.9","32835.6","-32537.3","53889.1","26936.6","43471.1","75908.1","86452.6","110243.7","88313.2","113086.3","42981.5","107974","52969.9","26721.8","3495.6","10901.1","9753.8","4131.7","36389.7","35287","1325","21540","67947.2","30527.5","25200.8","6105.9","66664.8","582.5","3688.6","1841.9","11080.1","145617","18512.4"
"Dec-2016","58534.70","7846.6","18772.7","37537.2","32630.2","10622.2","23866.3","3227.9","6400.5","15839.1","988.2","34836.3","-31113.8","54189.4","26619.3","45383.8","78014.0","88636.2","112502.5","90531.8","115386.3","43252.4","109946","53218.2","27428.5","3678.7","11379.6","10130.7","4110.4","37647.1","37086.1","1748.7","21607.1","68407.2","30637.7","25356.4","6051.6","67096.7","573.2","3933.4","1855","11442.4","148068","18457.4"
"Nov-2016","58304.10","7657.8","20422.9","37264.9","32638.1","10700.6","23336.2","3238.1","6113.8","15580.1","987.6","36065.3","-29010.4","53775.6","28080.7","44922.7","77560.9","88261.5","111597.7","90237.1","114560.9","43338.7","109620","53179.7","27155","3821.2","11303.6","10262.1","3898.1","36983.1","36536.1","1346.8","21556.7","67801.5","30231.1","25331.9","6100.6","66509.7","593.2","3667.7","1876.8","11275.8","147093","18332.7"
"Oct-2016","57746.80","7625.7","20055.8","36186.2","32346.5","10862.0","22784.1","3182.4","5725.3","15446.3","933.2","35299.1","-29439.3","53292.2","27681.5","43811.9","76158.3","87020.4","109804.5","88959.3","112676.6","43208.5","107720","52933.4","26398.1","4500.5","10705.9","9240.3","3941.8","37048.6","36723.3","1228.8","21687.1","67286.9","29815.9","25218.5","6111.2","65992.1","498.8","3773.9","1868.6","11285.1","145185","18178.2"
"Sep-2016","57409.60","7614.1","19484.3","35963.4","32362.3","10763.2","23370.7","3497.9","5570.2","15796.6","678.6","35906.9","-28585.4","53037.4","27098.4","43577.5","75939.8","86703","110073.7","88438.0","112487.3","43125.5","107016","53061.1","25654.2","4114.9","10805.8","9357.9","4021.5","37131.8","36163.4","1275.1","21409.4","66871.8","29728.2","24938.6","6065.2","65557.1","442.1","3814.9","1882.8","11070.1","144212","21677.9"
"Aug-2016","57064.80","7562.4","19765.3","35427.5","32464.0","10575.1","23990.6","3289.6","6116.3","15974.3","337.5","33826.3","-30795.1","52748.9","27327.7","42989.9","75453.8","86028.9","110019.5","88035.7","112363.8","43039","107346","53421.9","25326.4","4308.1","10586","9693.2","4010.6","36621.3","34751.3","1368.3","21445.7","67014.4","29659.2","24833.6","6602.2","65794.5","445.8","3698.3","1775.4","10336.4","143659","18086.6"
"Jul-2016","57544.20","7631.7","19516.5","35556.2","32611.5","10879.1","24814.7","3367.2","6391.9","16380.4","430.3","33100","-31903.4","53203","27148.2","43187.9","75799.4","86678.4","111493.2","88711.3","113899.3","43490.5","108953","53635.4","24957.8","4571.9","10761.4","10748.2","4278.6","36243.8","34727.3","1326","21254.1","67412.9","29580.6","25366.6","6493","66184","451.5","3781.3","1739.9","11187.8","146213","18192.4"
"Jun-2016","57333.80","7548.1","21606.3","36955.3","32435.3","11373.7","24367.4","3409.4","6871.7","15300.9","466.8","29309.3","-34738.3","52836.9","29154.4","44503.4","76938.7","88312.3","112679.7","90341.5","115032.7","43808.9","109845","53420.3","25357.1","4000.5","11300.8","11578.5","4187.8","35943.6","34033.1","1354.2","21060.6","67110.8","29477.2","25239.3","6170.6","65885.4","637.7","3833.4","1752.7","10149.8","145649","21322.8"
"May-2016","57352.90","7635.6","21935.7","37759.1","32220.3","11084.3","24103.0","3466.7","7227.6","15232.3","504.3","28288.8","-36883.8","52878.6","29571.3","45394.7","77614.9","88699.2","112802.2","90641.8","115106.2","43304.5","110608","53218.9","25371.3","4241.2","12584.5","11320.4","3871.8","33655.5","31644.3","1413.7","20773.2","68660","29298.4","25441","7536","67436.9","643.3","3988.2","1753","10395.7","146986","17973.5"
"Apr-2016","57795.70","7640.6","23187.1","37919.4","32420.5","10198.2","23824.3","3535.7","6822.0","15322.8","503.3","32161.9","-32907.5","53502.8","30827.7","45560.1","77980.6","88178.8","112003.1","89905.4","114090.4","42618.7","109670","53457.3","25164.9","4132.6","12239.2","10796.9","3878.6","34427","31769.7","1165.7","20927.3","68166","29300.2","25903.7","6801.2","66827.8","548.5","3888.3","1724.1","10126.9","145503","17938.7"
"Mar-2016","57200.90","7606.8","21122.4","37544.5","32300.9","9870.2","23695.1","3577.9","6937.5","15079.3","501.7","28990.4","-35476.1","52961.2","28729.1","45151.3","77452.2","87322.3","111017.4","88975.4","113063.8","42171.1","108816","53078.6","24764.2","4135.6","12162.5","10853.9","3821.7","34405.9","30934.1","1405.6","20650.5","67768.1","29130.4","25602.6","6768.9","66369","565.4","3983.2","1717.6","9999.2","144939","21070"
"Feb-2016","56960.40","7563.5","21223.5","36961.8","32268.3","9876.3","22871.6","3460.3","6782.9","14407.6","439.2","25104.2","-39284.7","52793.7","28787","44525.3","76793.6","86669.8","109541.4","88374.8","111610.7","42144.5","106755","52910.5","23543.2","3855.4","10489.7","11180.5","4775.8","34855.6","31480.9","1108.3","20329.2","67519.4","29101.6","25213.6","6859.1","66149","592.9","4033.2","1719","10030.3","142155","17800.7"
"Jan-2016","57094.80","7507.2","21955.0","36578.3","32181.3","9810.7","21686.6","3369.9","6778.5","13267.3","690.5","25408","-39340.2","52977.9","29462.2","44085.5","76266.8","86077.6","107764.1","87731.3","110108.3","41992.1","105335","52691","23446.7","3557.9","9915","11129.6","4594.9","32204.1","29349.8","1180.8","20104.7","67755.3","29143.8","25302.4","6898","66390.6","602.6","4094.4","1714.1","10618.8","141052","17786.5"
"Dec-2015","56661.30","7649.8","22023.1","36604.2","31886.9","9729.6","22249.7","3398.1","7189.3","13260.1","593.6","22310.4","-41801.6","52478.2","29672.9","44254","76140.9","85870.5","108120.3","87533.9","110367.2","41616.5","105046","52293.8","23810.9","3837.6","9525.8","10813.7","4764.6","34361.1","29894.5","1666.4","22739.5","67183.6","28989.2","25034","6890","65833.6","396.1","4174.8","1699.5","11099.8","143894","20934.2"
"Nov-2015","56171.50","7532.2","21187.1","35601.4","32154.1","9821.0","22245.6","3312.3","7310.7","13352.1","576.7","27725.2","-36094","52025.1","28719.3","43133.6","75287.7","85108.7","107354.3","86741.3","109563.5","41975.1","104618","52542.6","23174.1","4034","9662.4","10515.3","4689.3","37325.1","31310","1182.7","22608.3","66840.3","28491.7","25071.1","6986.6","65547.8","349.5","4229.3","1712","11853.1","144072","17619.1"
"Oct-2015","56067.40","7526.2","19828.5","34109.6","32167.7","9897.4","22640.2","3456.3","7570.6","13284.8","456.4","24797.5","-39610.8","52386","27354.7","41635.7","73803.4","83700.8","106341.0","85325.3","108421.9","42065.1","103900","52340.2","23512.1","4071.6","9589","9769.4","4617.3","36141.7","29999.5","1094.9","22910.9","67045.2","28206.2","25291.8","6891.1","65757.9","317.4","4605.2","1733.5","11661.4","143955","17467.2"
"Sep-2015","55469.40","7375.4","22759.0","36487.1","31851.2","9759.5","21261.7","3098.1","6979.0","12983.6","457.8","27254.2","-36348","50994.3","30134.4","43862.5","75713.6","85473.1","106734.8","87548.3","109257.8","41610.7","103712","51955.8","23880.6","4026.6","9111.9","9964.6","4772","37637.2","29106","1459.3","23009.7","67149.6","27901","25075.3","7509.8","65864.5","393","4584.4","1686.1","14089.1","145567","20408.8"
"Aug-2015","55342.20","7411.5","23091.5","36416.7","32025.1","9740.5","21377.0","3324.8","6733.0","12982.2","555.5","26902.9","-35820.5","50903.5","30503","43828.2","75853.4","85593.9","106970.9","87245.8","109133.3","41765.7","104633","52237.4","23203.3","4194.5","9536.1","10826.9","4635","37331.3","29559.4","1220.9","22877.5","66148.1","27847.3","25116.6","6552.5","64822.9","396.6","4642.6","1592.6","12089","143763","17194.1"
"Jul-2015","54879.80","7225.9","25408.9","36744.4","31553.8","9791.1","22063.5","3388.1","6460.4","13331.7","553.8","26030.5","-34717.9","50583.2","32634.8","43970.3","75524.1","85315.2","107378.7","86962.0","109424.3","41344.9","104511","51562.6","23461.2","4192.1","9350.1","11350.6","4594.2","37196.3","29548.3","1284.1","22727.7","63975.7","27547.3","24992","6378.6","62637.3","466.5","3001.9","1589.4","11637.3","142805","17052.6"
"Jun-2015","54746.80","7079.7","24155.7","37278.8","31082.7","9717.5","22045.7","3427.6","6692.2","12993.4","531.5","28267.6","-32439.6","50432.8","31235.4","44358.4","75441.1","85158.6","107204.3","86787.5","109364.8","40800.2","104130","50292.3","23606","4688.5","8969.5","11530.5","5043.7","38877.2","31344.9","1407","22597.6","64032.4","27309.6","25160.7","6399.4","62642.3","463.2","3097.3","1602.1","12148","142943","20051.5"
"May-2015","54140.90","7144.7","24315.9","36932.6","31056.6","9813.7","22187.5","3445.2","6798.8","13052.5","546.2","22342.5","-37288.8","49846.2","31460.6","44077.3","75133.9","84947.6","107135.1","86682.4","109416.2","40870.3","104550","50289.7","23428.8","4789.5","9540.7","11562.3","4939.5","37682.3","30392.3","1276.7","22468.8","62852.1","27220.5","24640.9","6100.3","61484.1","432.4","2863.1","1594.9","11440.9","142210","16817"
"Apr-2015","54172.30","6993.3","24920.5","36960.0","30691.5","10097.7","21744.1","3357.8","7023.6","12609.6","552.0","15409.7","-44129.8","49820.3","31913.7","43953.2","74644.7","84742.4","106486.5","86779.2","109075.3","40789.2","103678","49846.2","23983.4","4265.2","9552.6","10802.1","5229.1","37727.2","29930.3","1363.3","22700","62487.1","27013.8","24762.5","6099.5","61011.6","489.7","2555.7","1565.9","11182.7","141169","16639.8"
"Mar-2015","53874.40","7029.3","22783.7","36875.3","30378.2","10029.8","21739.8","3504.2","7172.2","12224.0","596.6","21409","-38084.5","49633.3","29813","43904.6","74282.8","84312.6","106052.4","86428.1","108764.5","40408","103809","49481.8","24009","5008.1","9330.8","10959.3","5019.7","39707.4","31974","1336.8","22607.9","61974.7","26903.3","24555.1","6189.2","60495.9","467.5","2295.8","1563.9","11554.2","142060","19667.1"
"Feb-2015","53843.90","6906.8","24204.1","37425.6","30570.5","9707.7","22083.1","3369.4","7224.9","12666.8","658.5","16677.9","-42986.2","49523.3","31110.9","44332.4","74902.9","84610.6","106693.7","86612.9","109354.3","40278.2","104886","49660.8","24172.5","4372.3","9190.1","11868","5621.8","38292.3","30813","1225.4","22007.6","62283.3","26931.2","24445.4","5933.5","60820.2","417.1","2758.7","1797.4","11751.7","143292","16532"
"Jan-2015","53650.90","6841.8","25750.8","38557.4","30112.7","9269.7","21843.4","3106.6","7391.3","12642.2","694.1","17727.5","-41881.1","49371.8","32592.6","45399.2","75511.9","84781.6","106625.0","86771.4","109308.8","39382.4","104644","49027.1","24114.1","5222.5","8819.2","12286.1","5174.4","38558.5","30820.9","1178.9","21907.3","62403.5","26879.7","24641.2","6312.2","60940","605.3","2437.9","1527.2","12040.3","142267","16476.9"
"Dec-2014","53422.10","6895.1","26832.0","40824.1","29899.5","9509.7","20961.8","3120.7","7052.2","12006.2","719.7","17735.1","-41426.8","49148","33727.1","47719.2","77618.7","87128.3","108090.1","89087.8","110769.3","39409.2","105362","48679.2","24645.9","5464.4","9251.5","12105.8","5215.1","38267.7","30740","1765.5","21646.4","62005.7","26772.3","24607.8","5888.9","60557.2","632.7","2599.2","1504.9","12264.9","143248","19474.6"
"Nov-2014","52929.80","6736.2","28393.2","39545.1","29868.1","8883.6","21038.7","3122.3","7011.9","12016.4","680.8","18179.9","-38844.7","48754.3","35129.4","46281.3","76149.4","85033","106071.7","87013.6","108732.9","38751.6","104975","48524.9","23554.4","5828.2","8919.9","13465.4","4682.3","37287","29899","1193.8","21510.1","59511.3","26387.3","24196","3862.2","58132.7","492.2","2802.8","1770.9","12272.9","141878","16292.7"
