"Date","Commercial Banks: Loans to Consumer (TT$Mn)","Commercial Banks: Loans to Businesses (Private Sector) (TT$Mn)","Commercial Banks: Loans to the Public Sector (TT$Mn)","Commercial Banks: Production Loans to Private Sector (TT$Mn)","Commercial Banks: Agriculture Loans to Private Sector (TT$Mn)","Commercial Banks: Petroleum Loans to Private Sector (TT$Mn)","Commercial Banks: Manufacturing Loans to Private Sector (TT$Mn)","Commercial Banks: Food Drink and Tobacco Loans to Private Sector (TT$Mn)","Commercial Banks: Printing and Publishing Loans to Private Sector (TT$Mn)","Commercial Banks: Wood & related Product Loans to Private Sector (TT$Mn)","Commercial Banks: Chemicals and Non-Metallic Minerals Loans to Private Sector (TT$Mn)","Commercial Banks: Assembly-type and Related Industries Loans to Private Sector (TT$Mn)","Commercial Banks: Miscellaneous Manufacturing (TT$Mn)","Commercial Banks: Construction Loans to Private Sector (TT$Mn)","Commercial Banks: Service Loans to Private Sector (TT$Mn)","Commercial Banks: Distribution Loans to Private Sector (TT$Mn)","Commercial Banks: Hotels & Guest Houses Loans to Private Sector (TT$Mn)","Commercial Banks: Transport, Storage and Communication Loans to Private Sector (TT$Mn)","Commercial Banks: Finance, Insurance and Real Estate Loans to Private Sector (TT$Mn)","Commercial Banks: Electricity and Water Loans to Private Sector (TT$Mn)","Commercial Banks: Education Culture & Community Services Loans to Private Sector (TT$Mn)","Commercial Banks: Personal Services Loans to Private Sector (TT$Mn)","Commercial Banks: Leasing and Real Estate Mortgage Loans to Private Sector (TT$Mn)","Commercial Banks: Production Loans to the Public Sector (TT$Mn)","Commercial Banks: Agriculture Loans to the Public Sector (TT$Mn)","Commercial Banks: Petroleum Loans to the Public Sector (TT$Mn)","Commercial Banks: Manufacturing Loans to the Public Sector (TT$Mn)","Commercial Banks: Food Drink and Tobacco Loans to the Public Sector (TT$Mn)","Commercial Banks: Printing and Publishing Loans to the Public Sector (TT$Mn)","Commercial Banks: Chemicals and Non-Metallic Minerals Loans to the Public Sector (TT$Mn)","Commercial Banks: Assembly-type and Related Industries Loans to the Public Sector (TT$Mn)","Commercial Banks: Miscellaneous Manufacturing Loans to the Public Sector (TT$Mn)","Commercial Banks: Construction Loans to the Public Sector (TT$Mn)","Commercial Banks: Services Loans to the Public Sector (TT$Mn)","Commercial Banks: Transport, Storage and Communication Loans to the Public Sector (TT$Mn)","Commercial Banks: Finance, Insurance and Real Estate Loans to the Public Sector (TT$Mn)","Commercial Banks: All Other Service Loans to the Public Sector (TT$Mn)","Commercial Banks: Leasing & Real Estate Mortgage Loans to the Public Sector (TT$Mn)","Commercial Banks: Loans to Central and Local Government (TT$Mn)","Commercial Banks: Bridging Finance Loans to Consumers (TT$Mn)","Commercial Banks: Land and Real Estate Loans to Consumers (TT$Mn)","Commercial Banks: Home Improvement/Renovation Loans to Consumers (TT$Mn)","Commercial Banks: Motor Vehicle Loans to Consumers (TT$Mn)","Commercial Banks: Insurance & Repairs to Motor Vehicles Loans to Consumers (TT$Mn)","Commercial Banks: Domestic Appliances & Furnishings Loans to Consumers (TT$Mn)","Commercial Banks: Purchase of Other Financial Assets Loans to Consumers (TT$Mn)","Commercial Banks: Education Loans to Consumers (TT$Mn)","Commercial Banks: Medical Loans to Consumers (TT$Mn)","Commercial Banks: Travel Loans to Consumers (TT$Mn)","Commercial Banks: Insurance (Life and Non-Life) & Professional Services (Legal, Funeral, etc.) Loans to Consumers (TT$Mn)","Commercial Banks: Refinancing Loans to Consumers (TT$Mn)","Commercial Banks: Consolidation of Debt Loans to Consumers (TT$Mn)","Commercial Banks: Miscellaneous and Personal Services Loans to Consumers (TT$Mn)","Commercial Banks: Other Purpose Loans to Consumers (TT$Mn)","Commercial Banks: Real Estate Mortgage Loans to Consumers (TT$Mn)","Commercial Banks: Public Sector Deposits (TT$Mn)","Commercial Banks: State-Owned Financial Enterprises Deposits (TT$Mn)","Commercial Banks: Non-Financial State Enterprises Deposits (TT$Mn)","Commercial Banks: Private Financial Institutions Deposits (TT$Mn)","Commercial Banks: Incorporated Businesses Deposits (TT$Mn)","Commercial Banks: Unincorporated Businesses Deposits (TT$Mn)","Commercial Banks: Consumer Deposits (TT$Mn)","Commercial Banks: Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks: Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks: Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks: Regulatory Capital-to-Total Assets (%)","Commercial Banks: Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks: Non-performing Loans-to-Gross Loans (%)","Commercial Banks: Non-performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks: Total Provisions-to-Impaired Loans (%)","Commercial Banks: Specific Provisions-to-Impaired Loans (%)","Commercial Banks: General Provisions-to-Gross Loans (%)","Commercial Banks: Specific Provisions-to-Gross Loans (%)","Commercial Banks: Return on Assets (%)","Commercial Banks: Return on Equity (%)","Commercial Banks: Interest Margin-to-Gross Income (%)","Commercial Banks: Non-interest Income-to-Gross Income (%)","Commercial Banks: Non-interest Expenses-to-Gross Income (%)","Commercial Banks: Liquid Assets-to-Total Assets (%)","Commercial Banks: Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks: Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks: Foreign Currency Liabilities-to-Total Liabilities (%)","Commercial Banks: Weighted Average Loan Rate - TT Denominated Currency (%)","Commercial Banks: Weighted Average Deposit Rate - TT Denominated Currency (%)","Commercial Banks: Weighted Average Loan Rate – Foreign Currency (%)","Commercial Banks: Weighted Average Deposit Rate – Foreign Currency (%)"
"Sep-2010","18110.3","21805","6081.1","5904.3","86.1","446.6","2740.8","680.7","355","85.5","356.1","527.6","383.5","2630.8","12320","2347.3","898.9","632.3","7408.2","482.3","83.5","467.5","3580.8","4073.5","18.5","1127","38.6","0","0","38.6","0","0","2889.4","2007.4","151.5","927.6","928.3","0","0.2","79.6","1189","1501.6","2280.3","29.1","90.3","308.1","268.5","44.7","76","74.6","1211.8","1047","210.2","2695.4","7004.2","3669.1","5361.3","4498.3","6193.7","13849.2","2236.2","35043.5","23.3","18.5","4.8","12.3","2.2","5.2","8.5","55.9","49.5","0.3","2.6","2.4","17.8","67.2","32.8","60.3","22.3","29.5","158.1","27.4","10.3","1","6.99","0.71"
"Jun-2010","17825.3","21664","5545.5","6049.7","104.6","457","2881","688.7","356.3","104.6","392.3","517.5","451.6","2607.1","12046.4","2527.9","1028","749.9","6741","518.2","84.4","396.9","3567.9","3482.8","18.5","1049.5","38.6","0","0","38.6","0","0","2376.2","2062.6","153","872","1037.5","0.1","0.1","83.7","1246.6","1454.6","2320","29.8","100.9","355.5","246.9","44.3","71.8","77.8","1210.1","1059.8","199.7","2564.1","6759.7","3692.8","4693.2","5842.9","6456.7","15404.7","2095.8","34641.6","22.1","18.4","3.6","11.5","3.2","5.3","8.5","57.9","51.9","0.3","2.8","2.3","17.4","68.1","31.9","61.7","26.2","34.4","167","30.8","10.6","1","6.98","0.71"
"Mar-2010","17759.3","22292","5296.7","6322.4","110","489.3","2950.8","696.3","327.6","112","388.8","527.9","520.7","2772.3","12420.5","2619.5","1079.4","857.9","6733.8","528.8","97.8","503.2","3549.1","3062.8","18.5","982.8","49.1","6.9","0","42.3","0","0","2012.3","2233.7","328.2","935.4","970.1","0.1","0.2","75.4","1138.2","1615.3","2346.8","146.9","100.1","378.9","240.5","48.6","62.6","72.9","1185.7","1002.6","80.3","2574.1","6690.3","3297.6","5180.8","7080","6201.7","15467.6","1977.1","34118.6","22","18.9","3.1","11.3","6","5.5","9.7","54","47.2","0.4","2.6","2.2","17","67","33","64.3","25.2","33.2","167.2","31.9","11","1.1","6.84","0.77"
"Dec-2009","18018.8","23022.1","5468.4","6380.5","106.8","417.4","3130.3","810","370.5","136.5","344.4","541.9","550.7","2725.9","13150.2","2657","1153.7","701.1","7477.8","545.2","97.4","518","3491.4","3097.9","18.5","1013.4","119.3","77.1","0","42.3","0","0","1946.7","2368.9","310","1025.5","1033.4","0.5","1.2","75.9","1143.2","1616.9","2411.1","30.3","105.1","417.5","247","51.4","65.9","72.6","1222","968.7","204.6","2778","6608.5","3388.4","4809.6","7759.9","6591.7","16868.1","1811.2","33170.3","20.5","18.5","2","10.7","5.9","5","9.2","55.1","48.1","0.3","2.4","2.7","20.2","67.9","32.1","60","25.1","32.7","165.2","33.1","11.5","1.4","7.19","0.99"
"Sep-2009","17685.3","23004.6","4189.1","6770.8","136.3","593.9","3225.8","873.6","386.8","126.7","381.6","537.7","551.2","2814.8","12832.8","2898.8","769.4","755.3","7133","568","88.1","620.1","3401","2266","18.5","504.4","76.5","1","0","45.8","29.7","0","1666.7","1908.6","321.4","705.4","881.7","0.4","14.1","83.1","1948.6","1544.9","2436.1","30.5","97.3","372.4","229.2","49.7","71","71.7","1122.2","898.3","191.7","3110.8","5427.9","2909.5","3880.2","7827.1","5739.6","15260.3","1660.3","27885.7","21.7","18.8","2.9","11.9","4.9","3.5","5.4","63","54.8","0.3","1.9","2.8","20.2","68","32","59.1","24.7","33.1","149.2","33.4","11.8","1.8","7.16","1.17"
"Jun-2009","17540.6","24217.8","4125.6","6937","137.1","754.5","3281.2","758.4","410.1","124.7","383.1","616","641.6","2764.1","13923.9","3051.2","772.1","979.3","7869.8","569.4","89.2","592.9","3356.9","2134.1","18.5","382.8","101.8","37.3","0","64.5","0","0","1631","1980.8","339.4","931","710.4","2","8.7","80.8","1952.9","1588.3","2480.5","24.4","100.5","403.8","214.8","49.4","71.8","71.2","1120.5","863.1","175.7","3035.4","5307.4","2899.1","3749","6469.3","5789.2","13913.7","1768.7","27250.1","20.1","16.1","4","11.9","-1.2","3.6","8.2","46","38.3","0.3","1.4","2.9","21.5","69.3","30.7","57.8","21.1","28.4","137.7","34.2","12","2.3","7.83","1.34"
"Mar-2009","17680.1","25133","3725.8","6880","140.4","700.5","3218.2","799.1","408.1","110.3","402","678.9","515.5","2821","14947.8","3183.6","764.6","860.7","8876.2","626.6","102","534.1","3305.2","2038.8","0","461.1","163.1","95.1","0","68","0","0","1414.6","1683.8","267.1","726.1","690.6","2","1.2","85.2","1949.7","1616.6","2576.5","23.4","104.7","456.7","219.5","51.9","74.3","82.6","1165.4","851.8","187.4","3058.8","5175.4","2846.6","3896.7","5837.1","5823.8","13635.1","1661.7","26796.8","19","16.1","2.9","11.6","-2.5","3.1","7.3","47.5","38.4","0.3","1.2","2.7","19.7","69.3","30.7","64","21.8","29.4","132.1","32.7","12","2.6","6.91","1.57"
"Dec-2008","18087.6","24353.2","3263.1","6386.7","141","995.1","3213.4","730","471.3","116.1","370.1","689.5","552.9","2037.1","14821.6","3426.9","737.3","1099.4","8313.7","573.4","94.6","576.1","3145","1635.7","0","500.8","104.8","36.8","0","67.9","0","0","1030.1","1622.9","158.7","685.3","779","3.2","1.3","92.7","1365","1374.8","2490.5","24.3","108.7","493.3","224","52.9","81.3","83.6","1239","866","216","4235.3","5140.3","2750.5","2136.6","6337.3","5506.8","13469.2","1562.4","24434.8","18.8","15.5","3.2","12.1","-1","2.5","6.7","40.3","29.3","0.3","0.7","3.5","25.9","65.7","34.3","50.4","22.1","30","124.7","32.7","11.5","3.1","7.31","1.72"
"Sep-2008","17571.5","23315.6","3432.7","5686.1","123.9","710.4","2956.8","706.4","410.2","99.2","367.3","775.7","451","1895","14643.5","2971.7","682.5","1051.4","8711.5","584.6","127.9","513.8","2986","965.2","0","358.6","139.6","68.4","0","71.3","0","0","467","2463.1","193","1138.3","1131.8","3.1","1.2","96.4","1339.4","1286.8","2358.3","23.7","91.9","452.4","219","51.4","82.8","65.8","1145.1","818.3","172.7","4327.2","5040.2","2874.6","2206","4385.6","4817.3","12992.3","1570.6","23966.6","18.5","14.4","4.1","12.2","6.8","0.9","0.7","110.3","79.2","0.3","0.7","3.4","25.8","64.8","35.2","50.1","20.2","27.3","121","30.8","11.3","2.9","7.15","1.99"
"Jun-2008","17099.2","22517.1","2789.7","5456.5","99.4","716.7","2857.2","628","408.1","204.6","366.3","621.1","499.8","1783.2","14239.3","2939.2","655.1","1059.8","8446.2","587.7","73.3","477.9","2821.3","1114.3","0","366.2","114.2","43.1","0","71.1","0","0","633.9","1669.5","176.3","629.6","863.6","4.6","1.2","94.9","1291.2","1235.7","2244.4","23.1","90.2","486.2","204.4","46.1","76","50.6","1110.4","793.4","153.9","4358.7","4839.9","3671.4","4200","4509.7","6471.1","12716","1604.8","23222.3","16.8","13.3","3.5","11.6","-4.8","1.1","1.3","93.8","67.5","0.3","0.7","3.5","26.8","65","35","49.5","22.6","29.7","136.5","35.7","11.1","2.9","7.71","2.11"
