"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Liquidity Absorption Bonds Issuances (TT$M)","Liquidity Absorption Bonds Repayments (TT$M)","Liquidity Absorption Bonds Outstanding (TT$M)","Total Sterilized Debt Outstanding (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Dec-2017","855","855","1905","5450.4","5883.3","18166.3","0","2485","3968","0","0","2559.3","24693.6","0.6","473.2","2796.9","2675","312.5","37884","67451.7","23920.2","91371.9","79","25.2","12.5","37.7","3589.5","373.7","1069.5","96.3","2050","18739.4","10461.6","29201","120567","95873.2","42.4","15","57.5","18.4","75.8","60.3","1.8"
"Sep-2017","1080","1080","1905","7032.6","6937.7","18599.2","0","1109.8","6453","0","0","2559.3","27611.5","0.5","28.1","3269.5","2500","2933.3","35487.1","68448.9","23522.7","91971.6","318.4","19.6","42.7","62.3","3535.8","352.7","1028.5","104.6","2050","18537.4","10749.4","29286.9","121258","93647","45.2","15.5","60.7","19.3","80.1","61.8","2.5"
"Jun-2017","1755","650","1905","5526.4","5241.5","18504.4","590","1228","7562.8","0","0","2559.3","28626.5","0","5.7","3297.1","2200","287.5","35778.6","69793.6","21566","91359.6","41.6","25.5","24.5","49.9","3236.6","357.7","722.3","106.7","2050","18288.9","10794.4","29083.3","120443","91816.4","46.1","14.2","60.3","19.2","79.5","60.6","2.1"
"Mar-2017","625","625","800","5096.5","7341.7","18219.4","0","594","8200.8","0","0","2559.3","28979.5","1.3","15.7","3302.8","2518.3","237.4","33861.9","67134.1","21478.3","88612.4","0","18.5","43.1","61.6","3220.5","350.2","704.1","116.2","2050","19102.1","11049.5","30151.6","118764","89784.5","44.3","14.2","58.5","19.9","78.4","59.3","2.2"
"Dec-2016","650","650","800","5388.1","4712.3","20464.7","0","258","8794.8","0","0","2559.3","31818.8","2.1","478.7","3317.3","1032.8","216.1","31593.2","67729","21578.7","89307.7","41.7","16.8","24.3","41.1","3239","354.9","716","118.1","2050","19153.5","11243.9","30397.4","119705","87886.6","44.7","14.2","59","20.1","79","58","1.7"
"Sep-2016","625","625","800","7911.2","7258.9","19788.9","575","405","9052.8","0","0","2559.3","31401","1.2","77","3793.9","22.7","95.7","30888.6","67086.7","21362.3","88449","1014.1","22.5","21.1","43.6","3214.4","355.4","681.4","127.6","2050","19871.9","11388.1","31260","119709","88308","44.3","14.1","58.4","20.6","79.1","58.3","1.8"
"Jun-2016","650","650","800","4956.5","5950.7","19136.6","400","992","8882.8","0","0","2559.3","30578.6","0","49.7","3869.8","3162.9","520.5","31169.8","66625","14533.8","81158.8","25.9","18.6","24.7","43.3","2222.9","350.1","693.2","129.6","1050","19883.9","11063","30946.9","112106","81527","44","9.6","53.6","20.4","74","53.8","2"
"Mar-2016","625","625","800","7934","6408.1","20130.8","200","422.8","9474.8","0","0","2559.3","32164.9","0","10.3","3919.5","22.1","154.5","28527.4","65625.6","14267.8","79893.4","5.7","21","31.3","52.3","2215.4","343.8","681.3","140.2","1050","19467.8","11293.4","30761.2","110655","78489.8","43.3","9.4","52.8","20.3","73.1","51.8","2.4"
"Dec-2015","650","650","800","6171.3","12604.6","18604.9","500","0","9697.5","0","0","4399.3","32701.7","10.6","484.8","3927.7","1524.3","1169.7","28660.8","64487.5","14104.5","78592","10.7","16.4","23","39.4","2230.7","344","696.1","140.5","1050","19724.2","11090.4","30765.7","109358","76655.9","42.6","9.3","51.9","20.3","72.2","50.6","1.3"
"Sep-2015","625","625","800","7957.7","7713.5","25038.2","577.3","465.8","9197.5","0","0","4399.3","38635","8.7","22.8","4401.9","1201.4","139","28132.8","70384.3","13759.6","84143.8","42.9","22.6","18.8","41.4","2236.3","344.5","690","151.9","1050","20192.3","11640.1","31832.4","115976","77341.1","42.9","8.4","51.3","19.4","70.7","47.1","1.3"
"Jun-2015","650","650","800","5554","5087.8","24379","250","0","9086","0","0","4399.3","37864.3","22","10.2","4416.1","475.3","916.6","26938.1","68453.1","14736.3","83191.5","25","24.8","23.3","48","2215.9","333.4","678.7","153.8","1050","20280.8","10209.7","30490.5","112098","74234.1","41.7","8","49.7","18.6","68.3","45.2","1.6"
"Mar-2015","625","625","800","5632.9","4002.7","23912.8","484","0","8836","0","0","4399.3","37148.1","305.5","8","4404.2","0","437.5","27381.5","68186.8","14741.7","82928.5","63.9","22.3","18.1","40.4","2215.7","312.8","681.9","171.1","1050","20393.6","10236.6","30630.2","112033","74884.9","41.5","8.1","49.6","18.7","68.3","45.6","1.2"
"Dec-2014","650","650","800","11091.4","3916.9","22282.6","2743","283","8352","0","700","4399.3","35033.9","0.4","491.9","4106.7","2100","737.1","27819","66232","14477.4","80709.4","62.6","15.9","23.2","39.1","2174.1","260.8","690.3","173","1050","19710.1","10325.6","30035.7","109222","74188","40.4","7.9","48.2","18.3","66.5","45.2","1"
"Sep-2014","625","625","800","6614.2","6614.2","15108","905","405","5892","0","516","5099.3","26099.3","0","9.6","4598.3","1451.8","571.9","26456.1","55743.5","14180.4","69923.9","22","26","17.7","43.7","2127.3","244.3","652","181","1050","18431.7","10350.5","28782.2","97180.3","71081","31.6","7.2","38.7","16.3","55","40.2","1.1"
"Jun-2014","650","650","800","5063.7","3949.6","15108","1173","781","5392","1000","1017.9","5615.3","26115.3","0","33.6","4607.8","335.8","1080.6","25559.4","54382.3","14206.6","68588.9","16.4","15.5","23.9","39.4","2131.3","233.5","666.2","181.6","1050","18015","10473.4","28488.3","94720.5","69605.3","30.8","7.3","38.1","16.1","54.2","39.4","1"
"Mar-2014","625","625","800","6443.7","6649.7","13993.9","0","0","5000","0","0","5633.2","24627.1","0.1","52.1","4641.4","0","45.7","26313.2","52680.3","14173.2","66853.5","25.2","23.7","9.9","33.6","2130.5","223.5","670.2","186.8","1050","18482","11021.4","29503.4","95155.2","70528","29.8","7.3","37.2","16.7","53.9","39.9","0.8"
"Dec-2013","650","650","800","3718.9","3718.9","14200","0","0","5000","0","0","5633.2","24833.2","0.6","551.4","4693.4","0","55","26358.9","53001.7","14197.4","67199.1","607.2","16","42.8","58.9","2129","221.1","688.6","169.2","1050","18330.6","10463.9","28794.5","94635.7","69802.5","30","7.3","37.3","16.3","53.6","39.5","1.3"
